OECD country,Cumulative deaths (01/01/2021-15/09/2021),"Cumulative deaths per 100,000 population  (01/01/2021-15/09/2021)",Date
Hungary,20431,213.42,2021-11-11
Slovakia,10310,190.85,2021-11-11
Czechia,18703,175.62,2021-11-11
Colombia,82192,160.88,2021-11-11
Poland,46469,124.01,2021-11-11
Mexico,141462,109.14,2021-11-11
Lithuania,2874,108.37,2021-11-11
Portugal,10894,107.79,2021-11-11
Chile,20593,107.46,2021-11-11
Latvia,1969,105.95,2021-11-11
United States,307970,93.15,2021-11-11
Italy,55334,92.43,2021-11-11
Greece,9342,90.49,2021-11-11
United Kingdom,60350,89.38,2021-11-11
Slovenia,1742,85.29,2021-11-11
Estonia,1079,81.8,2021-11-11
France,51354,76.2,2021-11-11
Spain,34556,73.92,2021-11-11
Germany,58549,70.21,2021-11-11
Costa Rica,3569,69.45,2021-11-11
Sweden,5976,58.82,2021-11-11
Ireland,2907,58.56,2021-11-11
Luxembourg,339,53.4,2021-11-11
Belgium,5892,51.11,2021-11-11
Austria,4579,51.07,2021-11-11
Israel,4050,46.43,2021-11-11
Turkey,39024,46.14,2021-11-11
Netherlands,6833,40.37,2021-11-11
Switzerland,3019,35.5,2021-11-11
Canada,11483,30.28,2021-11-11
Denmark,1294,22.67,2021-11-11
Japan,13324,10.77,2021-11-11
Finland,486,8.76,2021-11-11
Norway,391,7.15,2021-11-11
South Korea,1425,2.83,2021-11-11
Iceland,4,1.16,2021-11-11
Australia,193,0.75,2021-11-11
New Zealand,2,0.04,2021-11-11
