0,1,2,3,4,5,Date
State,Participant Active,Worker Active,Participant Recovered,Worker Recovered,Participant Deaths,2022-04-09
ACT,10,7,244,251,-,2022-04-09
NSW,243,320,3826,5979,24,2022-04-09
NT,10,9,187,309,-,2022-04-09
QLD,79,133,1494,2812,9,2022-04-09
SA,66,51,1029,1644,7,2022-04-09
TAS,24,65,177,625,-,2022-04-09
VIC,82,73,2638,2838,28,2022-04-09
WA,168,273,235,352,-,2022-04-09
-,6,20,46,101,-,2022-04-09
Total,688,951,9876,14911,72,2022-04-09
"Note: this table only shows counts greater than 5. *Only registered NDIS providers are required to notify the NDIS Commission, as soon as is practicable, of certain changes and events that significantly impact their provision of services regulated by the NDIS Commission, including COVID-19 impacts such as infection of participants, under section 13 and 13A of the NDIS (Provider Registration and Practice Standards) Rules 2018. Therefore, these figures do not represent all NDIS participants or all people with disability (who may not be NDIS participants).","Note: this table only shows counts greater than 5. *Only registered NDIS providers are required to notify the NDIS Commission, as soon as is practicable, of certain changes and events that significantly impact their provision of services regulated by the NDIS Commission, including COVID-19 impacts such as infection of participants, under section 13 and 13A of the NDIS (Provider Registration and Practice Standards) Rules 2018. Therefore, these figures do not represent all NDIS participants or all people with disability (who may not be NDIS participants).","Note: this table only shows counts greater than 5. *Only registered NDIS providers are required to notify the NDIS Commission, as soon as is practicable, of certain changes and events that significantly impact their provision of services regulated by the NDIS Commission, including COVID-19 impacts such as infection of participants, under section 13 and 13A of the NDIS (Provider Registration and Practice Standards) Rules 2018. Therefore, these figures do not represent all NDIS participants or all people with disability (who may not be NDIS participants).","Note: this table only shows counts greater than 5. *Only registered NDIS providers are required to notify the NDIS Commission, as soon as is practicable, of certain changes and events that significantly impact their provision of services regulated by the NDIS Commission, including COVID-19 impacts such as infection of participants, under section 13 and 13A of the NDIS (Provider Registration and Practice Standards) Rules 2018. Therefore, these figures do not represent all NDIS participants or all people with disability (who may not be NDIS participants).","Note: this table only shows counts greater than 5. *Only registered NDIS providers are required to notify the NDIS Commission, as soon as is practicable, of certain changes and events that significantly impact their provision of services regulated by the NDIS Commission, including COVID-19 impacts such as infection of participants, under section 13 and 13A of the NDIS (Provider Registration and Practice Standards) Rules 2018. Therefore, these figures do not represent all NDIS participants or all people with disability (who may not be NDIS participants).","Note: this table only shows counts greater than 5. *Only registered NDIS providers are required to notify the NDIS Commission, as soon as is practicable, of certain changes and events that significantly impact their provision of services regulated by the NDIS Commission, including COVID-19 impacts such as infection of participants, under section 13 and 13A of the NDIS (Provider Registration and Practice Standards) Rules 2018. Therefore, these figures do not represent all NDIS participants or all people with disability (who may not be NDIS participants).",2022-04-09
