OECD country,Cumulative deaths (01/01/2021-15/09/2021),"Cumulative deaths per 100,000 population  (01/01/2021-15/09/2021)",Date
Hungary,20431,213.42,2021-11-23
Slovakia,10310,190.85,2021-11-23
Czechia,18703,175.62,2021-11-23
Colombia,82192,160.88,2021-11-23
Poland,46469,124.01,2021-11-23
Mexico,141462,109.14,2021-11-23
Lithuania,2874,108.37,2021-11-23
Portugal,10894,107.79,2021-11-23
Chile,20593,107.46,2021-11-23
Latvia,1969,105.95,2021-11-23
United States,307970,93.15,2021-11-23
Italy,55334,92.43,2021-11-23
Greece,9342,90.49,2021-11-23
United Kingdom,60350,89.38,2021-11-23
Slovenia,1742,85.29,2021-11-23
Estonia,1079,81.8,2021-11-23
France,51354,76.2,2021-11-23
Spain,34556,73.92,2021-11-23
Germany,58549,70.21,2021-11-23
Costa Rica,3569,69.45,2021-11-23
Sweden,5976,58.82,2021-11-23
Ireland,2907,58.56,2021-11-23
Luxembourg,339,53.4,2021-11-23
Belgium,5892,51.11,2021-11-23
Austria,4579,51.07,2021-11-23
Israel,4050,46.43,2021-11-23
Turkey,39024,46.14,2021-11-23
Netherlands,6833,40.37,2021-11-23
Switzerland,3019,35.5,2021-11-23
Canada,11483,30.28,2021-11-23
Denmark,1294,22.67,2021-11-23
Japan,13324,10.77,2021-11-23
Finland,486,8.76,2021-11-23
Norway,391,7.15,2021-11-23
South Korea,1425,2.83,2021-11-23
Iceland,4,1.16,2021-11-23
Australia,193,0.75,2021-11-23
New Zealand,2,0.04,2021-11-23
