0,1,2,3,4,5,Date
State,Participant Active,Worker Active,Participant Recovered,Worker Recovered,Participant Deaths,2022-02-11
ACT,37,39,51,92,-,2022-02-11
NSW,737,998,1494,2510,23,2022-02-11
NT,24,60,8,30,-,2022-02-11
QLD,314,557,251,688,7,2022-02-11
SA,237,346,279,814,6,2022-02-11
TAS,37,121,27,152,-,2022-02-11
VIC,378,536,1165,1177,25,2022-02-11
WA,-,-,-,-,-,2022-02-11
-,10,19,18,15,-,2022-02-11
Total,1775,2679,3295,5481,61,2022-02-11
"Note: this table only shows counts greater than 5. *Only registered NDIS providers are required to notify the NDIS Commission for services regulated by the NDIS Commission. Therefore, these figures do not represent all NDIS participants or all people with disability (who may not be NDIS participants).","Note: this table only shows counts greater than 5. *Only registered NDIS providers are required to notify the NDIS Commission for services regulated by the NDIS Commission. Therefore, these figures do not represent all NDIS participants or all people with disability (who may not be NDIS participants).","Note: this table only shows counts greater than 5. *Only registered NDIS providers are required to notify the NDIS Commission for services regulated by the NDIS Commission. Therefore, these figures do not represent all NDIS participants or all people with disability (who may not be NDIS participants).","Note: this table only shows counts greater than 5. *Only registered NDIS providers are required to notify the NDIS Commission for services regulated by the NDIS Commission. Therefore, these figures do not represent all NDIS participants or all people with disability (who may not be NDIS participants).","Note: this table only shows counts greater than 5. *Only registered NDIS providers are required to notify the NDIS Commission for services regulated by the NDIS Commission. Therefore, these figures do not represent all NDIS participants or all people with disability (who may not be NDIS participants).","Note: this table only shows counts greater than 5. *Only registered NDIS providers are required to notify the NDIS Commission for services regulated by the NDIS Commission. Therefore, these figures do not represent all NDIS participants or all people with disability (who may not be NDIS participants).",2022-02-11
