State,Participant Active,Worker Active,Participant Recovered,Worker Recovered,Participant Deaths,Date
ACT,51,30,441,377,-,2022-08-11
NSW,805,1054,7042,10169,28,2022-08-11
NT,23,39,279,493,-,2022-08-11
QLD,334,476,2753,4934,9,2022-08-11
SA,261,388,2185,3101,8,2022-08-11
TAS,113,175,608,1393,-,2022-08-11
VIC,772,545,5518,4883,30,2022-08-11
WA,600,898,1888,3342,-,2022-08-11
-,9,27,97,159,-,2022-08-11
Total,2968,3632,20811,28851,80,2022-08-11
"Note: this table only shows counts greater than 5. *Only registered NDIS providers are required to notify the NDIS Commission, as soon as is practicable, of certain changes and events that significantly impact their provision of services regulated by the NDIS Commission, including COVID-19 impacts such as infection of participants, under section 13 and 13A of the NDIS (Provider Registration and Practice Standards) Rules 2018. Therefore, these figures do not represent all NDIS participants or all people with disability (who may not be NDIS participants).","Note: this table only shows counts greater than 5. *Only registered NDIS providers are required to notify the NDIS Commission, as soon as is practicable, of certain changes and events that significantly impact their provision of services regulated by the NDIS Commission, including COVID-19 impacts such as infection of participants, under section 13 and 13A of the NDIS (Provider Registration and Practice Standards) Rules 2018. Therefore, these figures do not represent all NDIS participants or all people with disability (who may not be NDIS participants).","Note: this table only shows counts greater than 5. *Only registered NDIS providers are required to notify the NDIS Commission, as soon as is practicable, of certain changes and events that significantly impact their provision of services regulated by the NDIS Commission, including COVID-19 impacts such as infection of participants, under section 13 and 13A of the NDIS (Provider Registration and Practice Standards) Rules 2018. Therefore, these figures do not represent all NDIS participants or all people with disability (who may not be NDIS participants).","Note: this table only shows counts greater than 5. *Only registered NDIS providers are required to notify the NDIS Commission, as soon as is practicable, of certain changes and events that significantly impact their provision of services regulated by the NDIS Commission, including COVID-19 impacts such as infection of participants, under section 13 and 13A of the NDIS (Provider Registration and Practice Standards) Rules 2018. Therefore, these figures do not represent all NDIS participants or all people with disability (who may not be NDIS participants).","Note: this table only shows counts greater than 5. *Only registered NDIS providers are required to notify the NDIS Commission, as soon as is practicable, of certain changes and events that significantly impact their provision of services regulated by the NDIS Commission, including COVID-19 impacts such as infection of participants, under section 13 and 13A of the NDIS (Provider Registration and Practice Standards) Rules 2018. Therefore, these figures do not represent all NDIS participants or all people with disability (who may not be NDIS participants).","Note: this table only shows counts greater than 5. *Only registered NDIS providers are required to notify the NDIS Commission, as soon as is practicable, of certain changes and events that significantly impact their provision of services regulated by the NDIS Commission, including COVID-19 impacts such as infection of participants, under section 13 and 13A of the NDIS (Provider Registration and Practice Standards) Rules 2018. Therefore, these figures do not represent all NDIS participants or all people with disability (who may not be NDIS participants).",2022-08-11
