Local Government Area,Total cases,Date
Aurukun Shire,136,2023-01-30
Balonne Shire,457,2023-01-30
Banana Shire,809,2023-01-30
Barcaldine Regional,164,2023-01-30
Barcoo Shire,4,2023-01-30
Blackall Tambo Regional,83,2023-01-30
Boulia Shire,14,2023-01-30
Brisbane City,168497,2023-01-30
Bulloo Shire,12,2023-01-30
Bundaberg Regional,10497,2023-01-30
Burdekin Shire,1466,2023-01-30
Burke Shire,28,2023-01-30
Cairns Regional,48930,2023-01-30
Carpentaria Shire,170,2023-01-30
Cassowary Coast Regional,5723,2023-01-30
Central Highlands Regional,2172,2023-01-30
Charters Towers Regional,1189,2023-01-30
Cherbourg Aboriginal Shire,391,2023-01-30
Cloncurry Shire,183,2023-01-30
Cook Shire,1164,2023-01-30
Croydon Shire,23,2023-01-30
Diamantina Shire,32,2023-01-30
Doomadgee Aboriginal Shire,175,2023-01-30
Douglas Shire,3033,2023-01-30
Etheridge Shire,68,2023-01-30
Flinders Shire,181,2023-01-30
Fraser Coast Regional,12418,2023-01-30
Gladstone Regional,4822,2023-01-30
Gold Coast City,92424,2023-01-30
Goondiwindi Regional,791,2023-01-30
Gympie Regional,4152,2023-01-30
Hinchinbrook Shire,618,2023-01-30
Hope Vale Aboriginal Shire,339,2023-01-30
Interstate/Other,21028,2023-01-30
Ipswich City,33308,2023-01-30
Isaac Regional,1087,2023-01-30
Kowanyama Aboriginal Shire,196,2023-01-30
Livingstone Shire,2989,2023-01-30
Lockhart River Aboriginal Shire,157,2023-01-30
Lockyer Valley Regional,3285,2023-01-30
Logan City,43554,2023-01-30
Longreach Regional,154,2023-01-30
Mackay Regional,13300,2023-01-30
Mapoon Aboriginal Shire,82,2023-01-30
Maranoa Regional,1208,2023-01-30
Mareeba Shire,5533,2023-01-30
McKinlay Shire,22,2023-01-30
Moreton Bay Regional,61528,2023-01-30
Mornington Shire,136,2023-01-30
Mount Isa City,2051,2023-01-30
Murweh Shire,349,2023-01-30
Napranum Aboriginal Shire,277,2023-01-30
Noosa Shire,6592,2023-01-30
North Burnett Regional,717,2023-01-30
Northern Peninsula Area Regional,774,2023-01-30
Not Supplied,920632,2023-01-30
Palm Island Aboriginal Shire,763,2023-01-30
Paroo Shire,94,2023-01-30
Pormpuraaw Aboriginal Shire,228,2023-01-30
Quilpie Shire,46,2023-01-30
Redland City,18618,2023-01-30
Richmond Shire,51,2023-01-30
Rockhampton Regional,6977,2023-01-30
Scenic Rim Regional,3169,2023-01-30
Somerset Regional,1985,2023-01-30
South Burnett Regional,1736,2023-01-30
Southern Downs Regional,3200,2023-01-30
Sunshine Coast Regional,43147,2023-01-30
Tablelands Regional,4798,2023-01-30
Toowoomba Regional,18505,2023-01-30
Torres Shire,1366,2023-01-30
Torres Strait Island Regional,1050,2023-01-30
Townsville City,28910,2023-01-30
Weipa Town,1507,2023-01-30
Western Downs Regional,1737,2023-01-30
Whitsunday Regional,3215,2023-01-30
Winton Shire,46,2023-01-30
Woorabinda Aboriginal Shire,331,2023-01-30
Wujal Wujal Aboriginal Shire,111,2023-01-30
Yarrabah Aboriginal Shire,1271,2023-01-30
Total cases,1622985,2023-01-30
