Local Government Area,Total cases,Date
Aurukun Shire,136,2023-01-20
Balonne Shire,457,2023-01-20
Banana Shire,809,2023-01-20
Barcaldine Regional,164,2023-01-20
Barcoo Shire,4,2023-01-20
Blackall Tambo Regional,83,2023-01-20
Boulia Shire,14,2023-01-20
Brisbane City,168497,2023-01-20
Bulloo Shire,12,2023-01-20
Bundaberg Regional,10497,2023-01-20
Burdekin Shire,1466,2023-01-20
Burke Shire,28,2023-01-20
Cairns Regional,48930,2023-01-20
Carpentaria Shire,170,2023-01-20
Cassowary Coast Regional,5723,2023-01-20
Central Highlands Regional,2172,2023-01-20
Charters Towers Regional,1189,2023-01-20
Cherbourg Aboriginal Shire,391,2023-01-20
Cloncurry Shire,183,2023-01-20
Cook Shire,1164,2023-01-20
Croydon Shire,23,2023-01-20
Diamantina Shire,32,2023-01-20
Doomadgee Aboriginal Shire,175,2023-01-20
Douglas Shire,3033,2023-01-20
Etheridge Shire,68,2023-01-20
Flinders Shire,181,2023-01-20
Fraser Coast Regional,12418,2023-01-20
Gladstone Regional,4822,2023-01-20
Gold Coast City,92424,2023-01-20
Goondiwindi Regional,791,2023-01-20
Gympie Regional,4152,2023-01-20
Hinchinbrook Shire,618,2023-01-20
Hope Vale Aboriginal Shire,339,2023-01-20
Interstate/Other,21028,2023-01-20
Ipswich City,33308,2023-01-20
Isaac Regional,1087,2023-01-20
Kowanyama Aboriginal Shire,196,2023-01-20
Livingstone Shire,2989,2023-01-20
Lockhart River Aboriginal Shire,157,2023-01-20
Lockyer Valley Regional,3285,2023-01-20
Logan City,43554,2023-01-20
Longreach Regional,154,2023-01-20
Mackay Regional,13300,2023-01-20
Mapoon Aboriginal Shire,82,2023-01-20
Maranoa Regional,1208,2023-01-20
Mareeba Shire,5533,2023-01-20
McKinlay Shire,22,2023-01-20
Moreton Bay Regional,61528,2023-01-20
Mornington Shire,136,2023-01-20
Mount Isa City,2051,2023-01-20
Murweh Shire,349,2023-01-20
Napranum Aboriginal Shire,277,2023-01-20
Noosa Shire,6592,2023-01-20
North Burnett Regional,717,2023-01-20
Northern Peninsula Area Regional,774,2023-01-20
Not Supplied,920632,2023-01-20
Palm Island Aboriginal Shire,763,2023-01-20
Paroo Shire,94,2023-01-20
Pormpuraaw Aboriginal Shire,228,2023-01-20
Quilpie Shire,46,2023-01-20
Redland City,18618,2023-01-20
Richmond Shire,51,2023-01-20
Rockhampton Regional,6977,2023-01-20
Scenic Rim Regional,3169,2023-01-20
Somerset Regional,1985,2023-01-20
South Burnett Regional,1736,2023-01-20
Southern Downs Regional,3200,2023-01-20
Sunshine Coast Regional,43147,2023-01-20
Tablelands Regional,4798,2023-01-20
Toowoomba Regional,18505,2023-01-20
Torres Shire,1366,2023-01-20
Torres Strait Island Regional,1050,2023-01-20
Townsville City,28910,2023-01-20
Weipa Town,1507,2023-01-20
Western Downs Regional,1737,2023-01-20
Whitsunday Regional,3215,2023-01-20
Winton Shire,46,2023-01-20
Woorabinda Aboriginal Shire,331,2023-01-20
Wujal Wujal Aboriginal Shire,111,2023-01-20
Yarrabah Aboriginal Shire,1271,2023-01-20
Total cases,1622985,2023-01-20
