Local Government Area,Total cases,Date
Aurukun Shire,136,2023-01-31
Balonne Shire,457,2023-01-31
Banana Shire,809,2023-01-31
Barcaldine Regional,164,2023-01-31
Barcoo Shire,4,2023-01-31
Blackall Tambo Regional,83,2023-01-31
Boulia Shire,14,2023-01-31
Brisbane City,168497,2023-01-31
Bulloo Shire,12,2023-01-31
Bundaberg Regional,10497,2023-01-31
Burdekin Shire,1466,2023-01-31
Burke Shire,28,2023-01-31
Cairns Regional,48930,2023-01-31
Carpentaria Shire,170,2023-01-31
Cassowary Coast Regional,5723,2023-01-31
Central Highlands Regional,2172,2023-01-31
Charters Towers Regional,1189,2023-01-31
Cherbourg Aboriginal Shire,391,2023-01-31
Cloncurry Shire,183,2023-01-31
Cook Shire,1164,2023-01-31
Croydon Shire,23,2023-01-31
Diamantina Shire,32,2023-01-31
Doomadgee Aboriginal Shire,175,2023-01-31
Douglas Shire,3033,2023-01-31
Etheridge Shire,68,2023-01-31
Flinders Shire,181,2023-01-31
Fraser Coast Regional,12418,2023-01-31
Gladstone Regional,4822,2023-01-31
Gold Coast City,92424,2023-01-31
Goondiwindi Regional,791,2023-01-31
Gympie Regional,4152,2023-01-31
Hinchinbrook Shire,618,2023-01-31
Hope Vale Aboriginal Shire,339,2023-01-31
Interstate/Other,21028,2023-01-31
Ipswich City,33308,2023-01-31
Isaac Regional,1087,2023-01-31
Kowanyama Aboriginal Shire,196,2023-01-31
Livingstone Shire,2989,2023-01-31
Lockhart River Aboriginal Shire,157,2023-01-31
Lockyer Valley Regional,3285,2023-01-31
Logan City,43554,2023-01-31
Longreach Regional,154,2023-01-31
Mackay Regional,13300,2023-01-31
Mapoon Aboriginal Shire,82,2023-01-31
Maranoa Regional,1208,2023-01-31
Mareeba Shire,5533,2023-01-31
McKinlay Shire,22,2023-01-31
Moreton Bay Regional,61528,2023-01-31
Mornington Shire,136,2023-01-31
Mount Isa City,2051,2023-01-31
Murweh Shire,349,2023-01-31
Napranum Aboriginal Shire,277,2023-01-31
Noosa Shire,6592,2023-01-31
North Burnett Regional,717,2023-01-31
Northern Peninsula Area Regional,774,2023-01-31
Not Supplied,920632,2023-01-31
Palm Island Aboriginal Shire,763,2023-01-31
Paroo Shire,94,2023-01-31
Pormpuraaw Aboriginal Shire,228,2023-01-31
Quilpie Shire,46,2023-01-31
Redland City,18618,2023-01-31
Richmond Shire,51,2023-01-31
Rockhampton Regional,6977,2023-01-31
Scenic Rim Regional,3169,2023-01-31
Somerset Regional,1985,2023-01-31
South Burnett Regional,1736,2023-01-31
Southern Downs Regional,3200,2023-01-31
Sunshine Coast Regional,43147,2023-01-31
Tablelands Regional,4798,2023-01-31
Toowoomba Regional,18505,2023-01-31
Torres Shire,1366,2023-01-31
Torres Strait Island Regional,1050,2023-01-31
Townsville City,28910,2023-01-31
Weipa Town,1507,2023-01-31
Western Downs Regional,1737,2023-01-31
Whitsunday Regional,3215,2023-01-31
Winton Shire,46,2023-01-31
Woorabinda Aboriginal Shire,331,2023-01-31
Wujal Wujal Aboriginal Shire,111,2023-01-31
Yarrabah Aboriginal Shire,1271,2023-01-31
Total cases,1622985,2023-01-31
