Local Government Area,Total cases,Date
Aurukun Shire,136,2023-02-07
Balonne Shire,457,2023-02-07
Banana Shire,809,2023-02-07
Barcaldine Regional,164,2023-02-07
Barcoo Shire,4,2023-02-07
Blackall Tambo Regional,83,2023-02-07
Boulia Shire,14,2023-02-07
Brisbane City,168497,2023-02-07
Bulloo Shire,12,2023-02-07
Bundaberg Regional,10497,2023-02-07
Burdekin Shire,1466,2023-02-07
Burke Shire,28,2023-02-07
Cairns Regional,48930,2023-02-07
Carpentaria Shire,170,2023-02-07
Cassowary Coast Regional,5723,2023-02-07
Central Highlands Regional,2172,2023-02-07
Charters Towers Regional,1189,2023-02-07
Cherbourg Aboriginal Shire,391,2023-02-07
Cloncurry Shire,183,2023-02-07
Cook Shire,1164,2023-02-07
Croydon Shire,23,2023-02-07
Diamantina Shire,32,2023-02-07
Doomadgee Aboriginal Shire,175,2023-02-07
Douglas Shire,3033,2023-02-07
Etheridge Shire,68,2023-02-07
Flinders Shire,181,2023-02-07
Fraser Coast Regional,12418,2023-02-07
Gladstone Regional,4822,2023-02-07
Gold Coast City,92424,2023-02-07
Goondiwindi Regional,791,2023-02-07
Gympie Regional,4152,2023-02-07
Hinchinbrook Shire,618,2023-02-07
Hope Vale Aboriginal Shire,339,2023-02-07
Interstate/Other,21028,2023-02-07
Ipswich City,33308,2023-02-07
Isaac Regional,1087,2023-02-07
Kowanyama Aboriginal Shire,196,2023-02-07
Livingstone Shire,2989,2023-02-07
Lockhart River Aboriginal Shire,157,2023-02-07
Lockyer Valley Regional,3285,2023-02-07
Logan City,43554,2023-02-07
Longreach Regional,154,2023-02-07
Mackay Regional,13300,2023-02-07
Mapoon Aboriginal Shire,82,2023-02-07
Maranoa Regional,1208,2023-02-07
Mareeba Shire,5533,2023-02-07
McKinlay Shire,22,2023-02-07
Moreton Bay Regional,61528,2023-02-07
Mornington Shire,136,2023-02-07
Mount Isa City,2051,2023-02-07
Murweh Shire,349,2023-02-07
Napranum Aboriginal Shire,277,2023-02-07
Noosa Shire,6592,2023-02-07
North Burnett Regional,717,2023-02-07
Northern Peninsula Area Regional,774,2023-02-07
Not Supplied,920632,2023-02-07
Palm Island Aboriginal Shire,763,2023-02-07
Paroo Shire,94,2023-02-07
Pormpuraaw Aboriginal Shire,228,2023-02-07
Quilpie Shire,46,2023-02-07
Redland City,18618,2023-02-07
Richmond Shire,51,2023-02-07
Rockhampton Regional,6977,2023-02-07
Scenic Rim Regional,3169,2023-02-07
Somerset Regional,1985,2023-02-07
South Burnett Regional,1736,2023-02-07
Southern Downs Regional,3200,2023-02-07
Sunshine Coast Regional,43147,2023-02-07
Tablelands Regional,4798,2023-02-07
Toowoomba Regional,18505,2023-02-07
Torres Shire,1366,2023-02-07
Torres Strait Island Regional,1050,2023-02-07
Townsville City,28910,2023-02-07
Weipa Town,1507,2023-02-07
Western Downs Regional,1737,2023-02-07
Whitsunday Regional,3215,2023-02-07
Winton Shire,46,2023-02-07
Woorabinda Aboriginal Shire,331,2023-02-07
Wujal Wujal Aboriginal Shire,111,2023-02-07
Yarrabah Aboriginal Shire,1271,2023-02-07
Total cases,1622985,2023-02-07
