Local Government Area,Total cases,Date
Aurukun Shire,136,2023-01-12
Balonne Shire,457,2023-01-12
Banana Shire,809,2023-01-12
Barcaldine Regional,164,2023-01-12
Barcoo Shire,4,2023-01-12
Blackall Tambo Regional,83,2023-01-12
Boulia Shire,14,2023-01-12
Brisbane City,168497,2023-01-12
Bulloo Shire,12,2023-01-12
Bundaberg Regional,10497,2023-01-12
Burdekin Shire,1466,2023-01-12
Burke Shire,28,2023-01-12
Cairns Regional,48930,2023-01-12
Carpentaria Shire,170,2023-01-12
Cassowary Coast Regional,5723,2023-01-12
Central Highlands Regional,2172,2023-01-12
Charters Towers Regional,1189,2023-01-12
Cherbourg Aboriginal Shire,391,2023-01-12
Cloncurry Shire,183,2023-01-12
Cook Shire,1164,2023-01-12
Croydon Shire,23,2023-01-12
Diamantina Shire,32,2023-01-12
Doomadgee Aboriginal Shire,175,2023-01-12
Douglas Shire,3033,2023-01-12
Etheridge Shire,68,2023-01-12
Flinders Shire,181,2023-01-12
Fraser Coast Regional,12418,2023-01-12
Gladstone Regional,4822,2023-01-12
Gold Coast City,92424,2023-01-12
Goondiwindi Regional,791,2023-01-12
Gympie Regional,4152,2023-01-12
Hinchinbrook Shire,618,2023-01-12
Hope Vale Aboriginal Shire,339,2023-01-12
Interstate/Other,21028,2023-01-12
Ipswich City,33308,2023-01-12
Isaac Regional,1087,2023-01-12
Kowanyama Aboriginal Shire,196,2023-01-12
Livingstone Shire,2989,2023-01-12
Lockhart River Aboriginal Shire,157,2023-01-12
Lockyer Valley Regional,3285,2023-01-12
Logan City,43554,2023-01-12
Longreach Regional,154,2023-01-12
Mackay Regional,13300,2023-01-12
Mapoon Aboriginal Shire,82,2023-01-12
Maranoa Regional,1208,2023-01-12
Mareeba Shire,5533,2023-01-12
McKinlay Shire,22,2023-01-12
Moreton Bay Regional,61528,2023-01-12
Mornington Shire,136,2023-01-12
Mount Isa City,2051,2023-01-12
Murweh Shire,349,2023-01-12
Napranum Aboriginal Shire,277,2023-01-12
Noosa Shire,6592,2023-01-12
North Burnett Regional,717,2023-01-12
Northern Peninsula Area Regional,774,2023-01-12
Not Supplied,920632,2023-01-12
Palm Island Aboriginal Shire,763,2023-01-12
Paroo Shire,94,2023-01-12
Pormpuraaw Aboriginal Shire,228,2023-01-12
Quilpie Shire,46,2023-01-12
Redland City,18618,2023-01-12
Richmond Shire,51,2023-01-12
Rockhampton Regional,6977,2023-01-12
Scenic Rim Regional,3169,2023-01-12
Somerset Regional,1985,2023-01-12
South Burnett Regional,1736,2023-01-12
Southern Downs Regional,3200,2023-01-12
Sunshine Coast Regional,43147,2023-01-12
Tablelands Regional,4798,2023-01-12
Toowoomba Regional,18505,2023-01-12
Torres Shire,1366,2023-01-12
Torres Strait Island Regional,1050,2023-01-12
Townsville City,28910,2023-01-12
Weipa Town,1507,2023-01-12
Western Downs Regional,1737,2023-01-12
Whitsunday Regional,3215,2023-01-12
Winton Shire,46,2023-01-12
Woorabinda Aboriginal Shire,331,2023-01-12
Wujal Wujal Aboriginal Shire,111,2023-01-12
Yarrabah Aboriginal Shire,1271,2023-01-12
Total cases,1622985,2023-01-12
