Local Government Area,Total cases,Date
Aurukun Shire,136,2023-01-11
Balonne Shire,457,2023-01-11
Banana Shire,809,2023-01-11
Barcaldine Regional,164,2023-01-11
Barcoo Shire,4,2023-01-11
Blackall Tambo Regional,83,2023-01-11
Boulia Shire,14,2023-01-11
Brisbane City,168497,2023-01-11
Bulloo Shire,12,2023-01-11
Bundaberg Regional,10497,2023-01-11
Burdekin Shire,1466,2023-01-11
Burke Shire,28,2023-01-11
Cairns Regional,48930,2023-01-11
Carpentaria Shire,170,2023-01-11
Cassowary Coast Regional,5723,2023-01-11
Central Highlands Regional,2172,2023-01-11
Charters Towers Regional,1189,2023-01-11
Cherbourg Aboriginal Shire,391,2023-01-11
Cloncurry Shire,183,2023-01-11
Cook Shire,1164,2023-01-11
Croydon Shire,23,2023-01-11
Diamantina Shire,32,2023-01-11
Doomadgee Aboriginal Shire,175,2023-01-11
Douglas Shire,3033,2023-01-11
Etheridge Shire,68,2023-01-11
Flinders Shire,181,2023-01-11
Fraser Coast Regional,12418,2023-01-11
Gladstone Regional,4822,2023-01-11
Gold Coast City,92424,2023-01-11
Goondiwindi Regional,791,2023-01-11
Gympie Regional,4152,2023-01-11
Hinchinbrook Shire,618,2023-01-11
Hope Vale Aboriginal Shire,339,2023-01-11
Interstate/Other,21028,2023-01-11
Ipswich City,33308,2023-01-11
Isaac Regional,1087,2023-01-11
Kowanyama Aboriginal Shire,196,2023-01-11
Livingstone Shire,2989,2023-01-11
Lockhart River Aboriginal Shire,157,2023-01-11
Lockyer Valley Regional,3285,2023-01-11
Logan City,43554,2023-01-11
Longreach Regional,154,2023-01-11
Mackay Regional,13300,2023-01-11
Mapoon Aboriginal Shire,82,2023-01-11
Maranoa Regional,1208,2023-01-11
Mareeba Shire,5533,2023-01-11
McKinlay Shire,22,2023-01-11
Moreton Bay Regional,61528,2023-01-11
Mornington Shire,136,2023-01-11
Mount Isa City,2051,2023-01-11
Murweh Shire,349,2023-01-11
Napranum Aboriginal Shire,277,2023-01-11
Noosa Shire,6592,2023-01-11
North Burnett Regional,717,2023-01-11
Northern Peninsula Area Regional,774,2023-01-11
Not Supplied,920632,2023-01-11
Palm Island Aboriginal Shire,763,2023-01-11
Paroo Shire,94,2023-01-11
Pormpuraaw Aboriginal Shire,228,2023-01-11
Quilpie Shire,46,2023-01-11
Redland City,18618,2023-01-11
Richmond Shire,51,2023-01-11
Rockhampton Regional,6977,2023-01-11
Scenic Rim Regional,3169,2023-01-11
Somerset Regional,1985,2023-01-11
South Burnett Regional,1736,2023-01-11
Southern Downs Regional,3200,2023-01-11
Sunshine Coast Regional,43147,2023-01-11
Tablelands Regional,4798,2023-01-11
Toowoomba Regional,18505,2023-01-11
Torres Shire,1366,2023-01-11
Torres Strait Island Regional,1050,2023-01-11
Townsville City,28910,2023-01-11
Weipa Town,1507,2023-01-11
Western Downs Regional,1737,2023-01-11
Whitsunday Regional,3215,2023-01-11
Winton Shire,46,2023-01-11
Woorabinda Aboriginal Shire,331,2023-01-11
Wujal Wujal Aboriginal Shire,111,2023-01-11
Yarrabah Aboriginal Shire,1271,2023-01-11
Total cases,1622985,2023-01-11
