Local Government Area,Total cases,Date
Aurukun Shire,136,2023-01-04
Balonne Shire,457,2023-01-04
Banana Shire,809,2023-01-04
Barcaldine Regional,164,2023-01-04
Barcoo Shire,4,2023-01-04
Blackall Tambo Regional,83,2023-01-04
Boulia Shire,14,2023-01-04
Brisbane City,168497,2023-01-04
Bulloo Shire,12,2023-01-04
Bundaberg Regional,10497,2023-01-04
Burdekin Shire,1466,2023-01-04
Burke Shire,28,2023-01-04
Cairns Regional,48930,2023-01-04
Carpentaria Shire,170,2023-01-04
Cassowary Coast Regional,5723,2023-01-04
Central Highlands Regional,2172,2023-01-04
Charters Towers Regional,1189,2023-01-04
Cherbourg Aboriginal Shire,391,2023-01-04
Cloncurry Shire,183,2023-01-04
Cook Shire,1164,2023-01-04
Croydon Shire,23,2023-01-04
Diamantina Shire,32,2023-01-04
Doomadgee Aboriginal Shire,175,2023-01-04
Douglas Shire,3033,2023-01-04
Etheridge Shire,68,2023-01-04
Flinders Shire,181,2023-01-04
Fraser Coast Regional,12418,2023-01-04
Gladstone Regional,4822,2023-01-04
Gold Coast City,92424,2023-01-04
Goondiwindi Regional,791,2023-01-04
Gympie Regional,4152,2023-01-04
Hinchinbrook Shire,618,2023-01-04
Hope Vale Aboriginal Shire,339,2023-01-04
Interstate/Other,21028,2023-01-04
Ipswich City,33308,2023-01-04
Isaac Regional,1087,2023-01-04
Kowanyama Aboriginal Shire,196,2023-01-04
Livingstone Shire,2989,2023-01-04
Lockhart River Aboriginal Shire,157,2023-01-04
Lockyer Valley Regional,3285,2023-01-04
Logan City,43554,2023-01-04
Longreach Regional,154,2023-01-04
Mackay Regional,13300,2023-01-04
Mapoon Aboriginal Shire,82,2023-01-04
Maranoa Regional,1208,2023-01-04
Mareeba Shire,5533,2023-01-04
McKinlay Shire,22,2023-01-04
Moreton Bay Regional,61528,2023-01-04
Mornington Shire,136,2023-01-04
Mount Isa City,2051,2023-01-04
Murweh Shire,349,2023-01-04
Napranum Aboriginal Shire,277,2023-01-04
Noosa Shire,6592,2023-01-04
North Burnett Regional,717,2023-01-04
Northern Peninsula Area Regional,774,2023-01-04
Not Supplied,920632,2023-01-04
Palm Island Aboriginal Shire,763,2023-01-04
Paroo Shire,94,2023-01-04
Pormpuraaw Aboriginal Shire,228,2023-01-04
Quilpie Shire,46,2023-01-04
Redland City,18618,2023-01-04
Richmond Shire,51,2023-01-04
Rockhampton Regional,6977,2023-01-04
Scenic Rim Regional,3169,2023-01-04
Somerset Regional,1985,2023-01-04
South Burnett Regional,1736,2023-01-04
Southern Downs Regional,3200,2023-01-04
Sunshine Coast Regional,43147,2023-01-04
Tablelands Regional,4798,2023-01-04
Toowoomba Regional,18505,2023-01-04
Torres Shire,1366,2023-01-04
Torres Strait Island Regional,1050,2023-01-04
Townsville City,28910,2023-01-04
Weipa Town,1507,2023-01-04
Western Downs Regional,1737,2023-01-04
Whitsunday Regional,3215,2023-01-04
Winton Shire,46,2023-01-04
Woorabinda Aboriginal Shire,331,2023-01-04
Wujal Wujal Aboriginal Shire,111,2023-01-04
Yarrabah Aboriginal Shire,1271,2023-01-04
Total cases,1622985,2023-01-04
