Local Government Area,Total cases,Date
Aurukun Shire,136,2023-02-15
Balonne Shire,457,2023-02-15
Banana Shire,809,2023-02-15
Barcaldine Regional,164,2023-02-15
Barcoo Shire,4,2023-02-15
Blackall Tambo Regional,83,2023-02-15
Boulia Shire,14,2023-02-15
Brisbane City,168497,2023-02-15
Bulloo Shire,12,2023-02-15
Bundaberg Regional,10497,2023-02-15
Burdekin Shire,1466,2023-02-15
Burke Shire,28,2023-02-15
Cairns Regional,48930,2023-02-15
Carpentaria Shire,170,2023-02-15
Cassowary Coast Regional,5723,2023-02-15
Central Highlands Regional,2172,2023-02-15
Charters Towers Regional,1189,2023-02-15
Cherbourg Aboriginal Shire,391,2023-02-15
Cloncurry Shire,183,2023-02-15
Cook Shire,1164,2023-02-15
Croydon Shire,23,2023-02-15
Diamantina Shire,32,2023-02-15
Doomadgee Aboriginal Shire,175,2023-02-15
Douglas Shire,3033,2023-02-15
Etheridge Shire,68,2023-02-15
Flinders Shire,181,2023-02-15
Fraser Coast Regional,12418,2023-02-15
Gladstone Regional,4822,2023-02-15
Gold Coast City,92424,2023-02-15
Goondiwindi Regional,791,2023-02-15
Gympie Regional,4152,2023-02-15
Hinchinbrook Shire,618,2023-02-15
Hope Vale Aboriginal Shire,339,2023-02-15
Interstate/Other,21028,2023-02-15
Ipswich City,33308,2023-02-15
Isaac Regional,1087,2023-02-15
Kowanyama Aboriginal Shire,196,2023-02-15
Livingstone Shire,2989,2023-02-15
Lockhart River Aboriginal Shire,157,2023-02-15
Lockyer Valley Regional,3285,2023-02-15
Logan City,43554,2023-02-15
Longreach Regional,154,2023-02-15
Mackay Regional,13300,2023-02-15
Mapoon Aboriginal Shire,82,2023-02-15
Maranoa Regional,1208,2023-02-15
Mareeba Shire,5533,2023-02-15
McKinlay Shire,22,2023-02-15
Moreton Bay Regional,61528,2023-02-15
Mornington Shire,136,2023-02-15
Mount Isa City,2051,2023-02-15
Murweh Shire,349,2023-02-15
Napranum Aboriginal Shire,277,2023-02-15
Noosa Shire,6592,2023-02-15
North Burnett Regional,717,2023-02-15
Northern Peninsula Area Regional,774,2023-02-15
Not Supplied,920632,2023-02-15
Palm Island Aboriginal Shire,763,2023-02-15
Paroo Shire,94,2023-02-15
Pormpuraaw Aboriginal Shire,228,2023-02-15
Quilpie Shire,46,2023-02-15
Redland City,18618,2023-02-15
Richmond Shire,51,2023-02-15
Rockhampton Regional,6977,2023-02-15
Scenic Rim Regional,3169,2023-02-15
Somerset Regional,1985,2023-02-15
South Burnett Regional,1736,2023-02-15
Southern Downs Regional,3200,2023-02-15
Sunshine Coast Regional,43147,2023-02-15
Tablelands Regional,4798,2023-02-15
Toowoomba Regional,18505,2023-02-15
Torres Shire,1366,2023-02-15
Torres Strait Island Regional,1050,2023-02-15
Townsville City,28910,2023-02-15
Weipa Town,1507,2023-02-15
Western Downs Regional,1737,2023-02-15
Whitsunday Regional,3215,2023-02-15
Winton Shire,46,2023-02-15
Woorabinda Aboriginal Shire,331,2023-02-15
Wujal Wujal Aboriginal Shire,111,2023-02-15
Yarrabah Aboriginal Shire,1271,2023-02-15
Total cases,1622985,2023-02-15
