Local Government Area,Total cases,Date
Aurukun Shire,136,2023-01-05
Balonne Shire,457,2023-01-05
Banana Shire,809,2023-01-05
Barcaldine Regional,164,2023-01-05
Barcoo Shire,4,2023-01-05
Blackall Tambo Regional,83,2023-01-05
Boulia Shire,14,2023-01-05
Brisbane City,168497,2023-01-05
Bulloo Shire,12,2023-01-05
Bundaberg Regional,10497,2023-01-05
Burdekin Shire,1466,2023-01-05
Burke Shire,28,2023-01-05
Cairns Regional,48930,2023-01-05
Carpentaria Shire,170,2023-01-05
Cassowary Coast Regional,5723,2023-01-05
Central Highlands Regional,2172,2023-01-05
Charters Towers Regional,1189,2023-01-05
Cherbourg Aboriginal Shire,391,2023-01-05
Cloncurry Shire,183,2023-01-05
Cook Shire,1164,2023-01-05
Croydon Shire,23,2023-01-05
Diamantina Shire,32,2023-01-05
Doomadgee Aboriginal Shire,175,2023-01-05
Douglas Shire,3033,2023-01-05
Etheridge Shire,68,2023-01-05
Flinders Shire,181,2023-01-05
Fraser Coast Regional,12418,2023-01-05
Gladstone Regional,4822,2023-01-05
Gold Coast City,92424,2023-01-05
Goondiwindi Regional,791,2023-01-05
Gympie Regional,4152,2023-01-05
Hinchinbrook Shire,618,2023-01-05
Hope Vale Aboriginal Shire,339,2023-01-05
Interstate/Other,21028,2023-01-05
Ipswich City,33308,2023-01-05
Isaac Regional,1087,2023-01-05
Kowanyama Aboriginal Shire,196,2023-01-05
Livingstone Shire,2989,2023-01-05
Lockhart River Aboriginal Shire,157,2023-01-05
Lockyer Valley Regional,3285,2023-01-05
Logan City,43554,2023-01-05
Longreach Regional,154,2023-01-05
Mackay Regional,13300,2023-01-05
Mapoon Aboriginal Shire,82,2023-01-05
Maranoa Regional,1208,2023-01-05
Mareeba Shire,5533,2023-01-05
McKinlay Shire,22,2023-01-05
Moreton Bay Regional,61528,2023-01-05
Mornington Shire,136,2023-01-05
Mount Isa City,2051,2023-01-05
Murweh Shire,349,2023-01-05
Napranum Aboriginal Shire,277,2023-01-05
Noosa Shire,6592,2023-01-05
North Burnett Regional,717,2023-01-05
Northern Peninsula Area Regional,774,2023-01-05
Not Supplied,920632,2023-01-05
Palm Island Aboriginal Shire,763,2023-01-05
Paroo Shire,94,2023-01-05
Pormpuraaw Aboriginal Shire,228,2023-01-05
Quilpie Shire,46,2023-01-05
Redland City,18618,2023-01-05
Richmond Shire,51,2023-01-05
Rockhampton Regional,6977,2023-01-05
Scenic Rim Regional,3169,2023-01-05
Somerset Regional,1985,2023-01-05
South Burnett Regional,1736,2023-01-05
Southern Downs Regional,3200,2023-01-05
Sunshine Coast Regional,43147,2023-01-05
Tablelands Regional,4798,2023-01-05
Toowoomba Regional,18505,2023-01-05
Torres Shire,1366,2023-01-05
Torres Strait Island Regional,1050,2023-01-05
Townsville City,28910,2023-01-05
Weipa Town,1507,2023-01-05
Western Downs Regional,1737,2023-01-05
Whitsunday Regional,3215,2023-01-05
Winton Shire,46,2023-01-05
Woorabinda Aboriginal Shire,331,2023-01-05
Wujal Wujal Aboriginal Shire,111,2023-01-05
Yarrabah Aboriginal Shire,1271,2023-01-05
Total cases,1622985,2023-01-05
