Local Government Area,Total cases,Date
Aurukun Shire,136,2023-02-18
Balonne Shire,457,2023-02-18
Banana Shire,809,2023-02-18
Barcaldine Regional,164,2023-02-18
Barcoo Shire,4,2023-02-18
Blackall Tambo Regional,83,2023-02-18
Boulia Shire,14,2023-02-18
Brisbane City,168497,2023-02-18
Bulloo Shire,12,2023-02-18
Bundaberg Regional,10497,2023-02-18
Burdekin Shire,1466,2023-02-18
Burke Shire,28,2023-02-18
Cairns Regional,48930,2023-02-18
Carpentaria Shire,170,2023-02-18
Cassowary Coast Regional,5723,2023-02-18
Central Highlands Regional,2172,2023-02-18
Charters Towers Regional,1189,2023-02-18
Cherbourg Aboriginal Shire,391,2023-02-18
Cloncurry Shire,183,2023-02-18
Cook Shire,1164,2023-02-18
Croydon Shire,23,2023-02-18
Diamantina Shire,32,2023-02-18
Doomadgee Aboriginal Shire,175,2023-02-18
Douglas Shire,3033,2023-02-18
Etheridge Shire,68,2023-02-18
Flinders Shire,181,2023-02-18
Fraser Coast Regional,12418,2023-02-18
Gladstone Regional,4822,2023-02-18
Gold Coast City,92424,2023-02-18
Goondiwindi Regional,791,2023-02-18
Gympie Regional,4152,2023-02-18
Hinchinbrook Shire,618,2023-02-18
Hope Vale Aboriginal Shire,339,2023-02-18
Interstate/Other,21028,2023-02-18
Ipswich City,33308,2023-02-18
Isaac Regional,1087,2023-02-18
Kowanyama Aboriginal Shire,196,2023-02-18
Livingstone Shire,2989,2023-02-18
Lockhart River Aboriginal Shire,157,2023-02-18
Lockyer Valley Regional,3285,2023-02-18
Logan City,43554,2023-02-18
Longreach Regional,154,2023-02-18
Mackay Regional,13300,2023-02-18
Mapoon Aboriginal Shire,82,2023-02-18
Maranoa Regional,1208,2023-02-18
Mareeba Shire,5533,2023-02-18
McKinlay Shire,22,2023-02-18
Moreton Bay Regional,61528,2023-02-18
Mornington Shire,136,2023-02-18
Mount Isa City,2051,2023-02-18
Murweh Shire,349,2023-02-18
Napranum Aboriginal Shire,277,2023-02-18
Noosa Shire,6592,2023-02-18
North Burnett Regional,717,2023-02-18
Northern Peninsula Area Regional,774,2023-02-18
Not Supplied,920632,2023-02-18
Palm Island Aboriginal Shire,763,2023-02-18
Paroo Shire,94,2023-02-18
Pormpuraaw Aboriginal Shire,228,2023-02-18
Quilpie Shire,46,2023-02-18
Redland City,18618,2023-02-18
Richmond Shire,51,2023-02-18
Rockhampton Regional,6977,2023-02-18
Scenic Rim Regional,3169,2023-02-18
Somerset Regional,1985,2023-02-18
South Burnett Regional,1736,2023-02-18
Southern Downs Regional,3200,2023-02-18
Sunshine Coast Regional,43147,2023-02-18
Tablelands Regional,4798,2023-02-18
Toowoomba Regional,18505,2023-02-18
Torres Shire,1366,2023-02-18
Torres Strait Island Regional,1050,2023-02-18
Townsville City,28910,2023-02-18
Weipa Town,1507,2023-02-18
Western Downs Regional,1737,2023-02-18
Whitsunday Regional,3215,2023-02-18
Winton Shire,46,2023-02-18
Woorabinda Aboriginal Shire,331,2023-02-18
Wujal Wujal Aboriginal Shire,111,2023-02-18
Yarrabah Aboriginal Shire,1271,2023-02-18
Total cases,1622985,2023-02-18
