Jurisdiction,Not in ICU,ICU,Date,Active outbreaks in aged care homes as at 13 Sep 2022,Active outbreaks in aged care homes as at 20 Sep 2022,Active outbreaks in aged care homes as at 21 Sep 2022,Active outbreaks in aged care homes as at 28 Sep 2022,Active outbreaks in aged care homes as at 05 Oct 2022,Active outbreaks in aged care homes as at 12 Oct 2022,Active outbreaks in aged care homes as at 19 Oct 2022,Active outbreaks in aged care homes as at 26 Oct 2022,Active outbreaks in aged care homes as at 02 Nov 2022,Active outbreaks in aged care homes as at 09 Nov 2022,Active outbreaks in aged care homes as at 16 Nov 2022
NT,7.0,0.0,2021-10-15,,,,,,,,,,,
QLD,17.0,1.0,2021-10-15,,,,,,,,,,,
SA,0.0,0.0,2021-10-15,,,,,,,,,,,
TAS,0.0,0.0,2021-10-15,,,,,,,,,,,
VIC,538.0,157.0,2021-10-15,,,,,,,,,,,
WA,1.0,0.0,2021-10-15,,,,,,,,,,,
NT,9.0,0.0,2021-10-16,,,,,,,,,,,
ACT,5.0,10.0,2021-10-16,,,,,,,,,,,
NSW,514.0,138.0,2021-10-16,,,,,,,,,,,
Australia,1181.0,312.0,2021-10-16,,,,,,,,,,,
QLD,17.0,1.0,2021-10-16,,,,,,,,,,,
SA,0.0,0.0,2021-10-16,,,,,,,,,,,
TAS,0.0,0.0,2021-10-16,,,,,,,,,,,
VIC,635.0,163.0,2021-10-16,,,,,,,,,,,
WA,1.0,0.0,2021-10-16,,,,,,,,,,,
WA,1.0,0.0,2021-10-17,,,,,,,,,,,
ACT,7.0,9.0,2021-10-17,,,,,,,,,,,
TAS,0.0,0.0,2021-10-17,,,,,,,,,,,
SA,0.0,0.0,2021-10-17,,,,,,,,,,,
Australia,1143.0,298.0,2021-10-17,,,,,,,,,,,
NT,9.0,0.0,2021-10-17,,,,,,,,,,,
NSW,482.0,137.0,2021-10-17,,,,,,,,,,,
VIC,626.0,151.0,2021-10-17,,,,,,,,,,,
QLD,18.0,1.0,2021-10-17,,,,,,,,,,,
WA,1.0,0.0,2021-10-18,,,,,,,,,,,
TAS,0.0,0.0,2021-10-18,,,,,,,,,,,
SA,0.0,0.0,2021-10-18,,,,,,,,,,,
VIC,696.0,155.0,2021-10-18,,,,,,,,,,,
Australia,1205.0,297.0,2021-10-18,,,,,,,,,,,
QLD,17.0,1.0,2021-10-18,,,,,,,,,,,
NT,9.0,0.0,2021-10-18,,,,,,,,,,,
NSW,474.0,132.0,2021-10-18,,,,,,,,,,,
ACT,8.0,9.0,2021-10-18,,,,,,,,,,,
Australia,1128.0,288.0,2021-10-19,,,,,,,,,,,
ACT,8.0,10.0,2021-10-19,,,,,,,,,,,
NSW,461.0,128.0,2021-10-19,,,,,,,,,,,
NT,9.0,0.0,2021-10-19,,,,,,,,,,,
QLD,14.0,1.0,2021-10-19,,,,,,,,,,,
TAS,0.0,0.0,2021-10-19,,,,,,,,,,,
VIC,635.0,149.0,2021-10-19,,,,,,,,,,,
WA,1.0,0.0,2021-10-19,,,,,,,,,,,
SA,0.0,0.0,2021-10-19,,,,,,,,,,,
VIC,639.0,147.0,2021-10-20,,,,,,,,,,,
SA,0.0,0.0,2021-10-20,,,,,,,,,,,
QLD,10.0,1.0,2021-10-20,,,,,,,,,,,
NT,9.0,0.0,2021-10-20,,,,,,,,,,,
NSW,428.0,124.0,2021-10-20,,,,,,,,,,,
TAS,0.0,0.0,2021-10-20,,,,,,,,,,,
Australia,1098.0,280.0,2021-10-20,,,,,,,,,,,
WA,0.0,0.0,2021-10-20,,,,,,,,,,,
ACT,12.0,8.0,2021-10-20,,,,,,,,,,,
QLD,10.0,1.0,2021-10-21,,,,,,,,,,,
WA,0.0,0.0,2021-10-21,,,,,,,,,,,
VIC,638.0,141.0,2021-10-21,,,,,,,,,,,
TAS,0.0,0.0,2021-10-21,,,,,,,,,,,
SA,0.0,0.0,2021-10-21,,,,,,,,,,,
Australia,1067.0,276.0,2021-10-21,,,,,,,,,,,
ACT,11.0,10.0,2021-10-21,,,,,,,,,,,
NT,9.0,0.0,2021-10-21,,,,,,,,,,,
NSW,399.0,124.0,2021-10-21,,,,,,,,,,,
TAS,0.0,0.0,2021-10-22,,,,,,,,,,,
SA,0.0,0.0,2021-10-22,,,,,,,,,,,
QLD,10.0,1.0,2021-10-22,,,,,,,,,,,
NT,9.0,0.0,2021-10-22,,,,,,,,,,,
NSW,399.0,124.0,2021-10-22,,,,,,,,,,,
ACT,11.0,10.0,2021-10-22,,,,,,,,,,,
Australia,1067.0,276.0,2021-10-22,,,,,,,,,,,
WA,0.0,0.0,2021-10-22,,,,,,,,,,,
VIC,638.0,141.0,2021-10-22,,,,,,,,,,,
Australia,1005.0,279.0,2021-10-23,,,,,,,,,,,
ACT,7.0,12.0,2021-10-23,,,,,,,,,,,
NSW,346.0,123.0,2021-10-23,,,,,,,,,,,
NT,9.0,0.0,2021-10-23,,,,,,,,,,,
QLD,17.0,0.0,2021-10-23,,,,,,,,,,,
SA,0.0,0.0,2021-10-23,,,,,,,,,,,
TAS,0.0,0.0,2021-10-23,,,,,,,,,,,
WA,0.0,0.0,2021-10-23,,,,,,,,,,,
VIC,626.0,144.0,2021-10-23,,,,,,,,,,,
WA,0.0,0.0,2021-10-24,,,,,,,,,,,
VIC,641.0,146.0,2021-10-24,,,,,,,,,,,
TAS,0.0,0.0,2021-10-24,,,,,,,,,,,
SA,0.0,0.0,2021-10-24,,,,,,,,,,,
Australia,1036.0,276.0,2021-10-24,,,,,,,,,,,
QLD,16.0,0.0,2021-10-24,,,,,,,,,,,
NT,9.0,0.0,2021-10-24,,,,,,,,,,,
ACT,9.0,11.0,2021-10-24,,,,,,,,,,,
NSW,361.0,119.0,2021-10-24,,,,,,,,,,,
NT,6.0,0.0,2021-10-25,,,,,,,,,,,
VIC,650.0,152.0,2021-10-25,,,,,,,,,,,
TAS,0.0,0.0,2021-10-25,,,,,,,,,,,
SA,0.0,0.0,2021-10-25,,,,,,,,,,,
QLD,15.0,0.0,2021-10-25,,,,,,,,,,,
NSW,358.0,116.0,2021-10-25,,,,,,,,,,,
ACT,10.0,10.0,2021-10-25,,,,,,,,,,,
Australia,1039.0,278.0,2021-10-25,,,,,,,,,,,
WA,0.0,0.0,2021-10-25,,,,,,,,,,,
SA,0.0,0.0,2021-10-26,,,,,,,,,,,
NSW,348.0,109.0,2021-10-26,,,,,,,,,,,
ACT,6.0,9.0,2021-10-26,,,,,,,,,,,
Australia,1044.0,265.0,2021-10-26,,,,,,,,,,,
WA,0.0,0.0,2021-10-26,,,,,,,,,,,
VIC,670.0,147.0,2021-10-26,,,,,,,,,,,
TAS,0.0,0.0,2021-10-26,,,,,,,,,,,
NT,5.0,0.0,2021-10-26,,,,,,,,,,,
QLD,15.0,0.0,2021-10-26,,,,,,,,,,,
ACT,5.0,6.0,2021-10-27,,,,,,,,,,,
Australia,951.0,241.0,2021-10-27,,,,,,,,,,,
SA,0.0,0.0,2021-10-27,,,,,,,,,,,
NSW,321.0,97.0,2021-10-27,,,,,,,,,,,
NT,2.0,0.0,2021-10-27,,,,,,,,,,,
QLD,13.0,0.0,2021-10-27,,,,,,,,,,,
TAS,0.0,0.0,2021-10-27,,,,,,,,,,,
VIC,610.0,138.0,2021-10-27,,,,,,,,,,,
WA,0.0,0.0,2021-10-27,,,,,,,,,,,
Australia,925.0,226.0,2021-10-28,,,,,,,,,,,
TAS,0.0,0.0,2021-10-28,,,,,,,,,,,
SA,0.0,0.0,2021-10-28,,,,,,,,,,,
QLD,12.0,0.0,2021-10-28,,,,,,,,,,,
NT,2.0,0.0,2021-10-28,,,,,,,,,,,
NSW,299.0,82.0,2021-10-28,,,,,,,,,,,
ACT,3.0,7.0,2021-10-28,,,,,,,,,,,
WA,0.0,0.0,2021-10-28,,,,,,,,,,,
VIC,609.0,137.0,2021-10-28,,,,,,,,,,,
WA,0.0,0.0,2021-10-29,,,,,,,,,,,
TAS,0.0,0.0,2021-10-29,,,,,,,,,,,
QLD,14.0,0.0,2021-10-29,,,,,,,,,,,
NT,2.0,0.0,2021-10-29,,,,,,,,,,,
NSW,283.0,80.0,2021-10-29,,,,,,,,,,,
ACT,3.0,6.0,2021-10-29,,,,,,,,,,,
Australia,910.0,216.0,2021-10-29,,,,,,,,,,,
VIC,608.0,130.0,2021-10-29,,,,,,,,,,,
SA,0.0,0.0,2021-10-29,,,,,,,,,,,
QLD,12.0,0.0,2021-10-30,,,,,,,,,,,
VIC,612.0,135.0,2021-10-30,,,,,,,,,,,
Australia,892.0,221.0,2021-10-30,,,,,,,,,,,
ACT,4.0,5.0,2021-10-30,,,,,,,,,,,
NSW,262.0,81.0,2021-10-30,,,,,,,,,,,
TAS,0.0,0.0,2021-10-30,,,,,,,,,,,
SA,0.0,0.0,2021-10-30,,,,,,,,,,,
NT,2.0,0.0,2021-10-30,,,,,,,,,,,
WA,0.0,0.0,2021-10-30,,,,,,,,,,,
ACT,4.0,5.0,2021-10-31,,,,,,,,,,,
NSW,262.0,78.0,2021-10-31,,,,,,,,,,,
NT,2.0,0.0,2021-10-31,,,,,,,,,,,
QLD,11.0,0.0,2021-10-31,,,,,,,,,,,
SA,0.0,0.0,2021-10-31,,,,,,,,,,,
WA,0.0,0.0,2021-10-31,,,,,,,,,,,
TAS,0.0,0.0,2021-10-31,,,,,,,,,,,
VIC,574.0,128.0,2021-10-31,,,,,,,,,,,
Australia,853.0,211.0,2021-10-31,,,,,,,,,,,
WA,0.0,0.0,2021-11-01,,,,,,,,,,,
VIC,563.0,136.0,2021-11-01,,,,,,,,,,,
TAS,0.0,0.0,2021-11-01,,,,,,,,,,,
SA,0.0,0.0,2021-11-01,,,,,,,,,,,
QLD,11.0,0.0,2021-11-01,,,,,,,,,,,
NSW,272.0,77.0,2021-11-01,,,,,,,,,,,
ACT,5.0,3.0,2021-11-01,,,,,,,,,,,
Australia,852.0,216.0,2021-11-01,,,,,,,,,,,
NT,1.0,0.0,2021-11-01,,,,,,,,,,,
Australia,815.0,203.0,2021-11-02,,,,,,,,,,,
WA,0.0,0.0,2021-11-02,,,,,,,,,,,
VIC,540.0,127.0,2021-11-02,,,,,,,,,,,
TAS,0.0,0.0,2021-11-02,,,,,,,,,,,
NSW,261.0,72.0,2021-11-02,,,,,,,,,,,
SA,0.0,0.0,2021-11-02,,,,,,,,,,,
QLD,11.0,0.0,2021-11-02,,,,,,,,,,,
NT,0.0,0.0,2021-11-02,,,,,,,,,,,
ACT,3.0,4.0,2021-11-02,,,,,,,,,,,
Australia,796.0,187.0,2021-11-03,,,,,,,,,,,
NT,0.0,0.0,2021-11-03,,,,,,,,,,,
NSW,241.0,68.0,2021-11-03,,,,,,,,,,,
QLD,12.0,0.0,2021-11-03,,,,,,,,,,,
SA,0.0,0.0,2021-11-03,,,,,,,,,,,
TAS,0.0,0.0,2021-11-03,,,,,,,,,,,
VIC,540.0,117.0,2021-11-03,,,,,,,,,,,
WA,0.0,0.0,2021-11-03,,,,,,,,,,,
ACT,3.0,2.0,2021-11-03,,,,,,,,,,,
WA,0.0,0.0,2021-11-04,,,,,,,,,,,
VIC,546.0,114.0,2021-11-04,,,,,,,,,,,
TAS,0.0,0.0,2021-11-04,,,,,,,,,,,
SA,0.0,0.0,2021-11-04,,,,,,,,,,,
QLD,9.0,0.0,2021-11-04,,,,,,,,,,,
NSW,238.0,64.0,2021-11-04,,,,,,,,,,,
ACT,4.0,2.0,2021-11-04,,,,,,,,,,,
Australia,798.0,180.0,2021-11-04,,,,,,,,,,,
NT,1.0,0.0,2021-11-04,,,,,,,,,,,
TAS,0.0,0.0,2021-11-05,,,,,,,,,,,
VIC,525.0,109.0,2021-11-05,,,,,,,,,,,
SA,0.0,0.0,2021-11-05,,,,,,,,,,,
QLD,7.0,0.0,2021-11-05,,,,,,,,,,,
NT,2.0,0.0,2021-11-05,,,,,,,,,,,
NSW,224.0,61.0,2021-11-05,,,,,,,,,,,
ACT,2.0,1.0,2021-11-05,,,,,,,,,,,
Australia,760.0,171.0,2021-11-05,,,,,,,,,,,
WA,0.0,0.0,2021-11-05,,,,,,,,,,,
NSW,215.0,55.0,2021-11-06,,,,,,,,,,,
NT,4.0,0.0,2021-11-06,,,,,,,,,,,
QLD,7.0,0.0,2021-11-06,,,,,,,,,,,
SA,0.0,0.0,2021-11-06,,,,,,,,,,,
TAS,0.0,0.0,2021-11-06,,,,,,,,,,,
VIC,545.0,106.0,2021-11-06,,,,,,,,,,,
Australia,772.0,162.0,2021-11-06,,,,,,,,,,,
ACT,1.0,1.0,2021-11-06,,,,,,,,,,,
WA,0.0,0.0,2021-11-06,,,,,,,,,,,
TAS,0.0,0.0,2021-11-07,,,,,,,,,,,
VIC,472.0,96.0,2021-11-07,,,,,,,,,,,
QLD,9.0,0.0,2021-11-07,,,,,,,,,,,
NSW,217.0,52.0,2021-11-07,,,,,,,,,,,
ACT,0.0,1.0,2021-11-07,,,,,,,,,,,
Australia,702.0,149.0,2021-11-07,,,,,,,,,,,
WA,0.0,0.0,2021-11-07,,,,,,,,,,,
SA,0.0,0.0,2021-11-07,,,,,,,,,,,
NT,4.0,0.0,2021-11-07,,,,,,,,,,,
TAS,0.0,0.0,2021-11-08,,,,,,,,,,,
ACT,0.0,1.0,2021-11-08,,,,,,,,,,,
NSW,216.0,48.0,2021-11-08,,,,,,,,,,,
NT,4.0,0.0,2021-11-08,,,,,,,,,,,
QLD,10.0,0.0,2021-11-08,,,,,,,,,,,
SA,0.0,0.0,2021-11-08,,,,,,,,,,,
VIC,465.0,91.0,2021-11-08,,,,,,,,,,,
WA,0.0,0.0,2021-11-08,,,,,,,,,,,
Australia,695.0,140.0,2021-11-08,,,,,,,,,,,
SA,0.0,0.0,2021-11-09,,,,,,,,,,,
VIC,489.0,90.0,2021-11-09,,,,,,,,,,,
TAS,0.0,0.0,2021-11-09,,,,,,,,,,,
QLD,12.0,0.0,2021-11-09,,,,,,,,,,,
WA,0.0,0.0,2021-11-09,,,,,,,,,,,
NSW,212.0,42.0,2021-11-09,,,,,,,,,,,
ACT,0.0,1.0,2021-11-09,,,,,,,,,,,
Australia,718.0,133.0,2021-11-09,,,,,,,,,,,
NT,5.0,0.0,2021-11-09,,,,,,,,,,,
WA,0.0,0.0,2021-11-10,,,,,,,,,,,
TAS,0.0,0.0,2021-11-10,,,,,,,,,,,
SA,0.0,0.0,2021-11-10,,,,,,,,,,,
QLD,12.0,0.0,2021-11-10,,,,,,,,,,,
NT,6.0,0.0,2021-11-10,,,,,,,,,,,
NSW,194.0,41.0,2021-11-10,,,,,,,,,,,
ACT,0.0,0.0,2021-11-10,,,,,,,,,,,
Australia,599.0,125.0,2021-11-10,,,,,,,,,,,
VIC,387.0,84.0,2021-11-10,,,,,,,,,,,
NSW,188.0,40.0,2021-11-11,,,,,,,,,,,
WA,0.0,0.0,2021-11-11,,,,,,,,,,,
VIC,378.0,79.0,2021-11-11,,,,,,,,,,,
TAS,0.0,0.0,2021-11-11,,,,,,,,,,,
SA,0.0,0.0,2021-11-11,,,,,,,,,,,
QLD,12.0,0.0,2021-11-11,,,,,,,,,,,
NT,5.0,0.0,2021-11-11,,,,,,,,,,,
Australia,583.0,119.0,2021-11-11,,,,,,,,,,,
ACT,0.0,0.0,2021-11-11,,,,,,,,,,,
WA,0.0,0.0,2021-11-12,,,,,,,,,,,
VIC,344.0,82.0,2021-11-12,,,,,,,,,,,
Australia,565.0,116.0,2021-11-12,,,,,,,,,,,
ACT,0.0,0.0,2021-11-12,,,,,,,,,,,
NSW,202.0,34.0,2021-11-12,,,,,,,,,,,
NT,5.0,0.0,2021-11-12,,,,,,,,,,,
QLD,14.0,0.0,2021-11-12,,,,,,,,,,,
SA,0.0,0.0,2021-11-12,,,,,,,,,,,
TAS,0.0,0.0,2021-11-12,,,,,,,,,,,
WA,0.0,0.0,2021-11-13,,,,,,,,,,,
ACT,0.0,0.0,2021-11-13,,,,,,,,,,,
NSW,196.0,32.0,2021-11-13,,,,,,,,,,,
NT,6.0,0.0,2021-11-13,,,,,,,,,,,
Australia,545.0,109.0,2021-11-13,,,,,,,,,,,
SA,0.0,0.0,2021-11-13,,,,,,,,,,,
TAS,0.0,0.0,2021-11-13,,,,,,,,,,,
VIC,328.0,77.0,2021-11-13,,,,,,,,,,,
QLD,15.0,0.0,2021-11-13,,,,,,,,,,,
QLD,14.0,0.0,2021-11-14,,,,,,,,,,,
NT,6.0,0.0,2021-11-14,,,,,,,,,,,
NSW,192.0,32.0,2021-11-14,,,,,,,,,,,
ACT,0.0,0.0,2021-11-14,,,,,,,,,,,
Australia,531.0,107.0,2021-11-14,,,,,,,,,,,
VIC,319.0,75.0,2021-11-14,,,,,,,,,,,
WA,0.0,0.0,2021-11-14,,,,,,,,,,,
TAS,0.0,0.0,2021-11-14,,,,,,,,,,,
SA,0.0,0.0,2021-11-14,,,,,,,,,,,
TAS,0.0,0.0,2021-11-15,,,,,,,,,,,
VIC,300.0,78.0,2021-11-15,,,,,,,,,,,
Australia,505.0,110.0,2021-11-15,,,,,,,,,,,
ACT,1.0,0.0,2021-11-15,,,,,,,,,,,
QLD,14.0,0.0,2021-11-15,,,,,,,,,,,
NT,6.0,0.0,2021-11-15,,,,,,,,,,,
WA,0.0,0.0,2021-11-15,,,,,,,,,,,
SA,0.0,0.0,2021-11-15,,,,,,,,,,,
NSW,184.0,32.0,2021-11-15,,,,,,,,,,,
SA,0.0,0.0,2021-11-16,,,,,,,,,,,
Australia,527.0,105.0,2021-11-16,,,,,,,,,,,
ACT,3.0,1.0,2021-11-16,,,,,,,,,,,
NSW,178.0,32.0,2021-11-16,,,,,,,,,,,
NT,11.0,0.0,2021-11-16,,,,,,,,,,,
QLD,13.0,0.0,2021-11-16,,,,,,,,,,,
WA,0.0,0.0,2021-11-16,,,,,,,,,,,
VIC,322.0,72.0,2021-11-16,,,,,,,,,,,
TAS,0.0,0.0,2021-11-16,,,,,,,,,,,
WA,0.0,0.0,2021-11-17,,,,,,,,,,,
TAS,0.0,0.0,2021-11-17,,,,,,,,,,,
SA,0.0,0.0,2021-11-17,,,,,,,,,,,
VIC,299.0,58.0,2021-11-17,,,,,,,,,,,
QLD,12.0,0.0,2021-11-17,,,,,,,,,,,
NT,19.0,0.0,2021-11-17,,,,,,,,,,,
NSW,174.0,33.0,2021-11-17,,,,,,,,,,,
Australia,507.0,91.0,2021-11-17,,,,,,,,,,,
ACT,3.0,0.0,2021-11-17,,,,,,,,,,,
VIC,274.0,63.0,2021-11-18,,,,,,,,,,,
WA,0.0,0.0,2021-11-18,,,,,,,,,,,
NT,25.0,0.0,2021-11-18,,,,,,,,,,,
Australia,481.0,93.0,2021-11-18,,,,,,,,,,,
ACT,2.0,1.0,2021-11-18,,,,,,,,,,,
NSW,170.0,29.0,2021-11-18,,,,,,,,,,,
QLD,10.0,0.0,2021-11-18,,,,,,,,,,,
SA,0.0,0.0,2021-11-18,,,,,,,,,,,
TAS,0.0,0.0,2021-11-18,,,,,,,,,,,
WA,0.0,0.0,2021-11-19,,,,,,,,,,,
TAS,0.0,0.0,2021-11-19,,,,,,,,,,,
NT,24.0,0.0,2021-11-19,,,,,,,,,,,
NSW,168.0,28.0,2021-11-19,,,,,,,,,,,
ACT,2.0,1.0,2021-11-19,,,,,,,,,,,
VIC,273.0,57.0,2021-11-19,,,,,,,,,,,
SA,0.0,0.0,2021-11-19,,,,,,,,,,,
QLD,6.0,0.0,2021-11-19,,,,,,,,,,,
Australia,473.0,86.0,2021-11-19,,,,,,,,,,,
Australia,454.0,84.0,2021-11-20,,,,,,,,,,,
VIC,257.0,55.0,2021-11-20,,,,,,,,,,,
TAS,0.0,0.0,2021-11-20,,,,,,,,,,,
SA,0.0,0.0,2021-11-20,,,,,,,,,,,
QLD,7.0,0.0,2021-11-20,,,,,,,,,,,
NT,25.0,0.0,2021-11-20,,,,,,,,,,,
NSW,163.0,28.0,2021-11-20,,,,,,,,,,,
ACT,2.0,1.0,2021-11-20,,,,,,,,,,,
WA,0.0,0.0,2021-11-20,,,,,,,,,,,
VIC,261.0,56.0,2021-11-21,,,,,,,,,,,
TAS,0.0,0.0,2021-11-21,,,,,,,,,,,
SA,0.0,0.0,2021-11-21,,,,,,,,,,,
ACT,3.0,2.0,2021-11-21,,,,,,,,,,,
NT,29.0,0.0,2021-11-21,,,,,,,,,,,
NSW,160.0,32.0,2021-11-21,,,,,,,,,,,
QLD,4.0,0.0,2021-11-21,,,,,,,,,,,
Australia,457.0,90.0,2021-11-21,,,,,,,,,,,
WA,0.0,0.0,2021-11-21,,,,,,,,,,,
VIC,272.0,44.0,2021-11-22,,,,,,,,,,,
WA,0.0,0.0,2021-11-22,,,,,,,,,,,
Australia,488.0,76.0,2021-11-22,,,,,,,,,,,
ACT,3.0,2.0,2021-11-22,,,,,,,,,,,
NSW,172.0,30.0,2021-11-22,,,,,,,,,,,
NT,37.0,0.0,2021-11-22,,,,,,,,,,,
QLD,4.0,0.0,2021-11-22,,,,,,,,,,,
SA,0.0,0.0,2021-11-22,,,,,,,,,,,
TAS,0.0,0.0,2021-11-22,,,,,,,,,,,
ACT,3.0,3.0,2021-11-23,,,,,,,,,,,
WA,0.0,0.0,2021-11-23,,,,,,,,,,,
VIC,259.0,44.0,2021-11-23,,,,,,,,,,,
TAS,0.0,0.0,2021-11-23,,,,,,,,,,,
SA,0.0,0.0,2021-11-23,,,,,,,,,,,
QLD,4.0,0.0,2021-11-23,,,,,,,,,,,
NT,41.0,0.0,2021-11-23,,,,,,,,,,,
Australia,469.0,81.0,2021-11-23,,,,,,,,,,,
NSW,162.0,34.0,2021-11-23,,,,,,,,,,,
VIC,232.0,52.0,2021-11-24,,,,,,,,,,,
TAS,0.0,0.0,2021-11-24,,,,,,,,,,,
SA,0.0,0.0,2021-11-24,,,,,,,,,,,
NT,43.0,0.0,2021-11-24,,,,,,,,,,,
NSW,160.0,35.0,2021-11-24,,,,,,,,,,,
ACT,3.0,3.0,2021-11-24,,,,,,,,,,,
Australia,441.0,90.0,2021-11-24,,,,,,,,,,,
WA,0.0,0.0,2021-11-24,,,,,,,,,,,
QLD,3.0,0.0,2021-11-24,,,,,,,,,,,
Australia,481.0,82.0,2021-11-25,,,,,,,,,,,
