Jurisdiction,Active cases^,Locally acquired last 24 hours*,Overseas acquired last 24 hours,'Under investigation last 24 hours*',Locally acquired last 7 days,Overseas acquired last 7 days,Under investigation last 7 days,Date,Locally acquired last 24 hours,Under investigation last 24 hours,Active Cases^,Under investigation last 24 hours*,Average daily cases as at 20 Sep 2022,Change in average cases compared to previous week (%),Average daily cases as at 27 Sep 2022,Average daily cases as at 04 Oct 2022,Average daily cases as at 11 Oct 2022,Average daily cases as at 18 Oct 2022,Average daily cases as at 25 Oct 2022,Average daily cases as at 01 Nov 2022,Average daily cases as at 08 Nov 2022,Average daily cases as at 15 Nov 2022,Average daily cases as at 22 Nov 2022,Average daily cases as at 29 Nov 2022,Average daily cases as at 06 Dec 2022,Average daily cases as at 13 Dec 2022,Average daily cases as at 20 Dec 2022,Average daily cases as at 03 Jan 2023,Average daily cases as at 10 Jan 2023,Average daily cases as at 17 Jan 2023,Average daily cases as at 24 Jan 2023
VIC,14368.0,,0.0,,3049.0,0.0,6277.0,2021-10-06,523.0,1240.0,,,,,,,,,,,,,,,,,,,,,
Australia,23378.0,,1.0,,8571.0,31.0,6363.0,2021-10-06,1165.0,1242.0,,,,,,,,,,,,,,,,,,,,,
ACT,386.0,,0.0,,171.0,0.0,85.0,2021-10-06,31.0,2.0,,,,,,,,,,,,,,,,,,,,,
NSW,8571.0,,0.0,,5333.0,7.0,0.0,2021-10-06,608.0,0.0,,,,,,,,,,,,,,,,,,,,,
NT,6.0,,0.0,,0.0,2.0,0.0,2021-10-06,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
QLD,26.0,,0.0,,12.0,7.0,1.0,2021-10-06,2.0,0.0,,,,,,,,,,,,,,,,,,,,,
SA,4.0,,0.0,,5.0,1.0,0.0,2021-10-06,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
TAS,1.0,,0.0,,1.0,0.0,0.0,2021-10-06,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
WA,16.0,,1.0,,0.0,14.0,0.0,2021-10-06,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Australia,23401.0,,7.0,,8155.0,35.0,6827.0,2021-10-07,1150.0,1116.0,,,,,,,,,,,,,,,,,,,,,
ACT,407.0,,0.0,,180.0,0.0,92.0,2021-10-07,17.0,24.0,,,,,,,,,,,,,,,,,,,,,
NSW,7868.0,,0.0,,4705.0,3.0,0.0,2021-10-07,587.0,0.0,,,,,,,,,,,,,,,,,,,,,
NT,7.0,,1.0,,0.0,2.0,0.0,2021-10-07,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
WA,15.0,,0.0,,0.0,14.0,0.0,2021-10-07,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
SA,3.0,,0.0,,5.0,1.0,0.0,2021-10-07,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
TAS,1.0,,0.0,,1.0,0.0,0.0,2021-10-07,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
VIC,15074.0,,0.0,,3258.0,0.0,6735.0,2021-10-07,546.0,1092.0,,,,,,,,,,,,,,,,,,,,,
QLD,26.0,,6.0,,6.0,15.0,0.0,2021-10-07,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
ACT,430.0,21.0,0.0,19.0,161.0,0.0,99.0,2021-10-08,,,,,,,,,,,,,,,,,,,,,,,
NSW,7604.0,646.0,2.0,0.0,4495.0,4.0,0.0,2021-10-08,,,,,,,,,,,,,,,,,,,,,,,
QLD,31.0,0.0,0.0,0.0,5.0,13.0,0.0,2021-10-08,,,,,,,,,,,,,,,,,,,,,,,
SA,4.0,0.0,1.0,0.0,4.0,2.0,0.0,2021-10-08,,,,,,,,,,,,,,,,,,,,,,,
NT,5.0,0.0,0.0,0.0,0.0,1.0,0.0,2021-10-08,,,,,,,,,,,,,,,,,,,,,,,
VIC,16823.0,31.0,0.0,1807.0,3103.0,0.0,7762.0,2021-10-08,,,,,,,,,,,,,,,,,,,,,,,
WA,15.0,0.0,0.0,0.0,0.0,14.0,0.0,2021-10-08,,,,,,,,,,,,,,,,,,,,,,,
Australia,24913.0,698.0,3.0,1826.0,7769.0,34.0,7861.0,2021-10-08,,,,,,,,,,,,,,,,,,,,,,,
TAS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2021-10-08,,,,,,,,,,,,,,,,,,,,,,,
TAS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2021-10-09,,,,,,,,,,,,,,,,,,,,,,,
Australia,24982.0,1149.0,5.0,1422.0,7439.0,35.0,8217.0,2021-10-09,,,,,,,,,,,,,,,,,,,,,,,
ACT,430.0,12.0,0.0,13.0,143.0,0.0,90.0,2021-10-09,,,,,,,,,,,,,,,,,,,,,,,
NSW,7296.0,580.0,1.0,0.0,4272.0,4.0,0.0,2021-10-09,,,,,,,,,,,,,,,,,,,,,,,
NT,6.0,0.0,1.0,0.0,0.0,2.0,0.0,2021-10-09,,,,,,,,,,,,,,,,,,,,,,,
QLD,31.0,0.0,3.0,0.0,3.0,14.0,0.0,2021-10-09,,,,,,,,,,,,,,,,,,,,,,,
SA,4.0,1.0,0.0,0.0,4.0,1.0,0.0,2021-10-09,,,,,,,,,,,,,,,,,,,,,,,
VIC,17199.0,556.0,0.0,1409.0,3016.0,0.0,8127.0,2021-10-09,,,,,,,,,,,,,,,,,,,,,,,
WA,15.0,0.0,0.0,0.0,0.0,14.0,0.0,2021-10-09,,,,,,,,,,,,,,,,,,,,,,,
WA,15.0,0.0,0.0,0.0,0.0,11.0,0.0,2021-10-10,,,,,,,,,,,,,,,,,,,,,,,
VIC,18342.0,23.0,1.0,1866.0,2611.0,1.0,9197.0,2021-10-10,,,,,,,,,,,,,,,,,,,,,,,
TAS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-10,,,,,,,,,,,,,,,,,,,,,,,
SA,5.0,1.0,0.0,0.0,4.0,1.0,0.0,2021-10-10,,,,,,,,,,,,,,,,,,,,,,,
QLD,34.0,0.0,2.0,1.0,3.0,15.0,1.0,2021-10-10,,,,,,,,,,,,,,,,,,,,,,,
NT,6.0,0.0,0.0,0.0,0.0,2.0,0.0,2021-10-10,,,,,,,,,,,,,,,,,,,,,,,
NSW,6938.0,478.0,1.0,0.0,4082.0,4.0,0.0,2021-10-10,,,,,,,,,,,,,,,,,,,,,,,
ACT,433.0,16.0,0.0,14.0,134.0,0.0,91.0,2021-10-10,,,,,,,,,,,,,,,,,,,,,,,
Australia,25774.0,518.0,4.0,1881.0,6834.0,34.0,9289.0,2021-10-10,,,,,,,,,,,,,,,,,,,,,,,
Australia,26276.0,527.0,5.0,1615.0,6260.0,28.0,9996.0,2021-10-11,,,,,,,,,,,,,,,,,,,,,,,
VIC,19012.0,4.0,0.0,1608.0,2159.0,1.0,9910.0,2021-10-11,,,,,,,,,,,,,,,,,,,,,,,
TAS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-11,,,,,,,,,,,,,,,,,,,,,,,
SA,8.0,2.0,1.0,0.0,5.0,2.0,0.0,2021-10-11,,,,,,,,,,,,,,,,,,,,,,,
QLD,34.0,0.0,1.0,0.0,2.0,15.0,1.0,2021-10-11,,,,,,,,,,,,,,,,,,,,,,,
NT,7.0,0.0,1.0,0.0,0.0,3.0,0.0,2021-10-11,,,,,,,,,,,,,,,,,,,,,,,
NSW,6747.0,496.0,2.0,0.0,3950.0,6.0,0.0,2021-10-11,,,,,,,,,,,,,,,,,,,,,,,
ACT,455.0,25.0,0.0,7.0,144.0,0.0,85.0,2021-10-11,,,,,,,,,,,,,,,,,,,,,,,
WA,12.0,0.0,0.0,0.0,0.0,1.0,0.0,2021-10-11,,,,,,,,,,,,,,,,,,,,,,,
TAS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-12,,,,,,,,,,,,,,,,,,,,,,,
SA,7.0,1.0,0.0,0.0,5.0,2.0,0.0,2021-10-12,,,,,,,,,,,,,,,,,,,,,,,
QLD,34.0,0.0,4.0,0.0,0.0,19.0,1.0,2021-10-12,,,,,,,,,,,,,,,,,,,,,,,
NT,8.0,1.0,0.0,0.0,1.0,3.0,0.0,2021-10-12,,,,,,,,,,,,,,,,,,,,,,,
NSW,6308.0,360.0,0.0,0.0,3703.0,6.0,0.0,2021-10-12,,,,,,,,,,,,,,,,,,,,,,,
ACT,450.0,22.0,0.0,6.0,135.0,0.0,89.0,2021-10-12,,,,,,,,,,,,,,,,,,,,,,,
Australia,26448.0,710.0,5.0,1146.0,5813.0,32.0,9862.0,2021-10-12,,,,,,,,,,,,,,,,,,,,,,,
WA,13.0,0.0,1.0,0.0,0.0,1.0,0.0,2021-10-12,,,,,,,,,,,,,,,,,,,,,,,
VIC,19627.0,326.0,0.0,1140.0,1969.0,1.0,9772.0,2021-10-12,,,,,,,,,,,,,,,,,,,,,,,
WA,13.0,0.0,1.0,0.0,0.0,1.0,0.0,2021-10-13,,,,,,,,,,,,,,,,,,,,,,,
TAS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-13,,,,,,,,,,,,,,,,,,,,,,,
SA,7.0,1.0,0.0,0.0,5.0,2.0,0.0,2021-10-13,,,,,,,,,,,,,,,,,,,,,,,
NT,8.0,1.0,0.0,0.0,1.0,3.0,0.0,2021-10-13,,,,,,,,,,,,,,,,,,,,,,,
NSW,6308.0,360.0,0.0,0.0,3703.0,6.0,0.0,2021-10-13,,,,,,,,,,,,,,,,,,,,,,,
ACT,450.0,22.0,0.0,6.0,135.0,0.0,89.0,2021-10-13,,,,,,,,,,,,,,,,,,,,,,,
Australia,26448.0,710.0,5.0,1146.0,5813.0,32.0,9862.0,2021-10-13,,,,,,,,,,,,,,,,,,,,,,,
VIC,19627.0,326.0,0.0,1140.0,1969.0,1.0,9772.0,2021-10-13,,,,,,,,,,,,,,,,,,,,,,,
QLD,34.0,0.0,4.0,0.0,0.0,19.0,1.0,2021-10-13,,,,,,,,,,,,,,,,,,,,,,,
WA,9.0,0.0,0.0,0.0,0.0,1.0,0.0,2021-10-14,,,,,,,,,,,,,,,,,,,,,,,
TAS,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2021-10-14,,,,,,,,,,,,,,,,,,,,,,,
SA,7.0,0.0,0.0,0.0,6.0,2.0,0.0,2021-10-14,,,,,,,,,,,,,,,,,,,,,,,
QLD,30.0,0.0,0.0,0.0,0.0,10.0,1.0,2021-10-14,,,,,,,,,,,,,,,,,,,,,,,
NT,7.0,1.0,0.0,0.0,2.0,7.0,0.0,2021-10-14,,,,,,,,,,,,,,,,,,,,,,,
NSW,5599.0,406.0,1.0,0.0,3361.0,9.0,0.0,2021-10-14,,,,,,,,,,,,,,,,,,,,,,,
ACT,492.0,36.0,0.0,10.0,165.0,0.0,87.0,2021-10-14,,,,,,,,,,,,,,,,,,,,,,,
Australia,26651.0,901.0,1.0,1850.0,5329.0,31.0,10802.0,2021-10-14,,,,,,,,,,,,,,,,,,,,,,,
VIC,20505.0,457.0,0.0,1840.0,1794.0,2.0,10714.0,2021-10-14,,,,,,,,,,,,,,,,,,,,,,,
VIC,21324.0,13.0,0.0,2166.0,1756.0,2.0,11115.0,2021-10-15,,,,,,,,,,,,,,,,,,,,,,,
QLD,30.0,1.0,1.0,0.0,1.0,11.0,1.0,2021-10-15,,,,,,,,,,,,,,,,,,,,,,,
NT,7.0,0.0,0.0,0.0,2.0,7.0,0.0,2021-10-15,,,,,,,,,,,,,,,,,,,,,,,
NSW,5253.0,399.0,1.0,0.0,3108.0,8.0,0.0,2021-10-15,,,,,,,,,,,,,,,,,,,,,,,
WA,6.0,0.0,0.0,0.0,0.0,1.0,0.0,2021-10-15,,,,,,,,,,,,,,,,,,,,,,,
Australia,27123.0,437.0,2.0,2177.0,5042.0,30.0,11195.0,2021-10-15,,,,,,,,,,,,,,,,,,,,,,,
SA,7.0,0.0,0.0,0.0,6.0,1.0,0.0,2021-10-15,,,,,,,,,,,,,,,,,,,,,,,
ACT,494.0,24.0,0.0,11.0,168.0,0.0,79.0,2021-10-15,,,,,,,,,,,,,,,,,,,,,,,
TAS,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2021-10-15,,,,,,,,,,,,,,,,,,,,,,,
ACT,495.0,15.0,0.0,5.0,171.0,0.0,71.0,2021-10-16,,,,,,,,,,,,,,,,,,,,,,,
WA,6.0,0.0,1.0,0.0,0.0,2.0,0.0,2021-10-16,,,,,,,,,,,,,,,,,,,,,,,
VIC,21647.0,667.0,0.0,1326.0,1885.0,2.0,11024.0,2021-10-16,,,,,,,,,,,,,,,,,,,,,,,
TAS,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2021-10-16,,,,,,,,,,,,,,,,,,,,,,,
SA,7.0,0.0,1.0,0.0,5.0,2.0,0.0,2021-10-16,,,,,,,,,,,,,,,,,,,,,,,
QLD,29.0,0.0,3.0,0.0,1.0,10.0,1.0,2021-10-16,,,,,,,,,,,,,,,,,,,,,,,
NT,9.0,3.0,0.0,0.0,5.0,6.0,0.0,2021-10-16,,,,,,,,,,,,,,,,,,,,,,,
NSW,5334.0,319.0,2.0,0.0,2857.0,9.0,0.0,2021-10-16,,,,,,,,,,,,,,,,,,,,,,,
Australia,27529.0,1004.0,7.0,1331.0,4925.0,31.0,11096.0,2021-10-16,,,,,,,,,,,,,,,,,,,,,,,
ACT,486.0,28.0,0.0,5.0,183.0,0.0,62.0,2021-10-17,,,,,,,,,,,,,,,,,,,,,,,
NSW,5131.0,301.0,0.0,0.0,2684.0,8.0,0.0,2021-10-17,,,,,,,,,,,,,,,,,,,,,,,
NT,9.0,0.0,0.0,0.0,5.0,6.0,0.0,2021-10-17,,,,,,,,,,,,,,,,,,,,,,,
QLD,29.0,0.0,1.0,0.0,1.0,9.0,0.0,2021-10-17,,,,,,,,,,,,,,,,,,,,,,,
WA,4.0,0.0,0.0,0.0,0.0,2.0,0.0,2021-10-17,,,,,,,,,,,,,,,,,,,,,,,
TAS,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2021-10-17,,,,,,,,,,,,,,,,,,,,,,,
VIC,23376.0,549.0,0.0,1289.0,2316.0,1.0,10447.0,2021-10-17,,,,,,,,,,,,,,,,,,,,,,,
SA,7.0,0.0,0.0,0.0,4.0,2.0,0.0,2021-10-17,,,,,,,,,,,,,,,,,,,,,,,
Australia,29044.0,878.0,1.0,1294.0,5194.0,28.0,10509.0,2021-10-17,,,,,,,,,,,,,,,,,,,,,,,
Australia,27318.0,842.0,1.0,1343.0,5522.0,24.0,10275.0,2021-10-18,,,,,,,,,,,,,,,,,,,,,,,
WA,4.0,0.0,0.0,0.0,0.0,2.0,0.0,2021-10-18,,,,,,,,,,,,,,,,,,,,,,,
VIC,22327.0,560.0,0.0,1343.0,2872.0,1.0,10220.0,2021-10-18,,,,,,,,,,,,,,,,,,,,,,,
TAS,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2021-10-18,,,,,,,,,,,,,,,,,,,,,,,
SA,7.0,0.0,0.0,0.0,2.0,1.0,0.0,2021-10-18,,,,,,,,,,,,,,,,,,,,,,,
QLD,28.0,0.0,0.0,0.0,1.0,8.0,0.0,2021-10-18,,,,,,,,,,,,,,,,,,,,,,,
NT,9.0,0.0,0.0,0.0,5.0,5.0,0.0,2021-10-18,,,,,,,,,,,,,,,,,,,,,,,
NSW,4500.0,265.0,1.0,0.0,2466.0,7.0,0.0,2021-10-18,,,,,,,,,,,,,,,,,,,,,,,
ACT,441.0,17.0,0.0,0.0,175.0,0.0,55.0,2021-10-18,,,,,,,,,,,,,,,,,,,,,,,
WA,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2021-10-19,,,,,,,,,,,,,,,,,,,,,,,
VIC,22476.0,531.0,0.0,1218.0,3054.0,1.0,10298.0,2021-10-19,,,,,,,,,,,,,,,,,,,,,,,
TAS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2021-10-19,,,,,,,,,,,,,,,,,,,,,,,
SA,8.0,0.0,1.0,0.0,1.0,2.0,0.0,2021-10-19,,,,,,,,,,,,,,,,,,,,,,,
NT,9.0,0.0,0.0,0.0,4.0,5.0,0.0,2021-10-19,,,,,,,,,,,,,,,,,,,,,,,
NSW,4168.0,273.0,0.0,0.0,2376.0,7.0,0.0,2021-10-19,,,,,,,,,,,,,,,,,,,,,,,
ACT,428.0,24.0,0.0,0.0,177.0,0.0,49.0,2021-10-19,,,,,,,,,,,,,,,,,,,,,,,
Australia,27118.0,828.0,1.0,1218.0,5614.0,20.0,10347.0,2021-10-19,,,,,,,,,,,,,,,,,,,,,,,
QLD,25.0,0.0,0.0,0.0,1.0,4.0,0.0,2021-10-19,,,,,,,,,,,,,,,,,,,,,,,
VIC,22598.0,509.0,1.0,1332.0,3170.0,1.0,10506.0,2021-10-20,,,,,,,,,,,,,,,,,,,,,,,
SA,8.0,0.0,0.0,0.0,0.0,2.0,0.0,2021-10-20,,,,,,,,,,,,,,,,,,,,,,,
QLD,22.0,0.0,1.0,0.0,1.0,5.0,0.0,2021-10-20,,,,,,,,,,,,,,,,,,,,,,,
Australia,28526.0,816.0,2.0,1332.0,5568.0,14.0,10537.0,2021-10-20,,,,,,,,,,,,,,,,,,,,,,,
ACT,446.0,24.0,0.0,0.0,168.0,0.0,31.0,2021-10-20,,,,,,,,,,,,,,,,,,,,,,,
NT,9.0,0.0,0.0,0.0,4.0,0.0,0.0,2021-10-20,,,,,,,,,,,,,,,,,,,,,,,
WA,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2021-10-20,,,,,,,,,,,,,,,,,,,,,,,
NSW,5440.0,283.0,0.0,0.0,2224.0,5.0,0.0,2021-10-20,,,,,,,,,,,,,,,,,,,,,,,
TAS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2021-10-20,,,,,,,,,,,,,,,,,,,,,,,
Australia,28573.0,1069.0,10.0,1564.0,5766.0,23.0,10251.0,2021-10-21,,,,,,,,,,,,,,,,,,,,,,,
NSW,5220.0,372.0,2.0,0.0,2200.0,6.0,0.0,2021-10-21,,,,,,,,,,,,,,,,,,,,,,,
NT,9.0,0.0,0.0,0.0,3.0,0.0,0.0,2021-10-21,,,,,,,,,,,,,,,,,,,,,,,
ACT,425.0,28.0,0.0,0.0,160.0,0.0,21.0,2021-10-21,,,,,,,,,,,,,,,,,,,,,,,
SA,8.0,0.0,1.0,0.0,0.0,3.0,0.0,2021-10-21,,,,,,,,,,,,,,,,,,,,,,,
TAS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-21,,,,,,,,,,,,,,,,,,,,,,,
VIC,22889.0,668.0,3.0,1564.0,3401.0,4.0,10230.0,2021-10-21,,,,,,,,,,,,,,,,,,,,,,,
WA,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2021-10-21,,,,,,,,,,,,,,,,,,,,,,,
QLD,19.0,1.0,4.0,0.0,2.0,9.0,0.0,2021-10-21,,,,,,,,,,,,,,,,,,,,,,,
WA,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2021-10-22,,,,,,,,,,,,,,,,,,,,,,,
VIC,22889.0,668.0,3.0,1564.0,3401.0,4.0,10230.0,2021-10-22,,,,,,,,,,,,,,,,,,,,,,,
TAS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-22,,,,,,,,,,,,,,,,,,,,,,,
QLD,19.0,1.0,4.0,0.0,2.0,9.0,0.0,2021-10-22,,,,,,,,,,,,,,,,,,,,,,,
NT,9.0,0.0,0.0,0.0,3.0,0.0,0.0,2021-10-22,,,,,,,,,,,,,,,,,,,,,,,
ACT,425.0,28.0,0.0,0.0,160.0,0.0,21.0,2021-10-22,,,,,,,,,,,,,,,,,,,,,,,
Australia,28573.0,1069.0,10.0,1564.0,5766.0,23.0,10251.0,2021-10-22,,,,,,,,,,,,,,,,,,,,,,,
NSW,5220.0,372.0,2.0,0.0,2200.0,6.0,0.0,2021-10-22,,,,,,,,,,,,,,,,,,,,,,,
SA,8.0,0.0,1.0,0.0,0.0,3.0,0.0,2021-10-22,,,,,,,,,,,,,,,,,,,,,,,
Australia,28432.0,408.0,3.0,1696.0,5020.0,24.0,10548.0,2021-10-23,,,,,,,,,,,,,,,,,,,,,,,
VIC,23164.0,52.0,2.0,1696.0,2724.0,7.0,10543.0,2021-10-23,,,,,,,,,,,,,,,,,,,,,,,
ACT,400.0,24.0,0.0,0.0,158.0,0.0,5.0,2021-10-23,,,,,,,,,,,,,,,,,,,,,,,
WA,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-23,,,,,,,,,,,,,,,,,,,,,,,
TAS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-23,,,,,,,,,,,,,,,,,,,,,,,
SA,8.0,0.0,0.0,0.0,0.0,2.0,0.0,2021-10-23,,,,,,,,,,,,,,,,,,,,,,,
QLD,28.0,0.0,0.0,0.0,1.0,11.0,0.0,2021-10-23,,,,,,,,,,,,,,,,,,,,,,,
NT,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-23,,,,,,,,,,,,,,,,,,,,,,,
NSW,4820.0,332.0,1.0,0.0,2137.0,4.0,0.0,2021-10-23,,,,,,,,,,,,,,,,,,,,,,,
TAS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-24,,,,,,,,,,,,,,,,,,,,,,,
SA,7.0,0.0,1.0,0.0,0.0,3.0,0.0,2021-10-24,,,,,,,,,,,,,,,,,,,,,,,
Australia,30054.0,813.0,1.0,1427.0,4947.0,24.0,10623.0,2021-10-24,,,,,,,,,,,,,,,,,,,,,,,
NSW,4626.0,296.0,0.0,0.0,2124.0,4.0,0.0,2021-10-24,,,,,,,,,,,,,,,,,,,,,,,
NT,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-24,,,,,,,,,,,,,,,,,,,,,,,
QLD,26.0,0.0,0.0,0.0,1.0,10.0,0.0,2021-10-24,,,,,,,,,,,,,,,,,,,,,,,
WA,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-24,,,,,,,,,,,,,,,,,,,,,,,
VIC,24993.0,508.0,0.0,1427.0,2683.0,7.0,10623.0,2021-10-24,,,,,,,,,,,,,,,,,,,,,,,
ACT,390.0,9.0,0.0,0.0,139.0,0.0,0.0,2021-10-24,,,,,,,,,,,,,,,,,,,,,,,
ACT,332.0,9.0,0.0,0.0,131.0,0.0,0.0,2021-10-25,,,,,,,,,,,,,,,,,,,,,,,
Australia,29723.0,359.0,0.0,1405.0,4490.0,23.0,10613.0,2021-10-25,,,,,,,,,,,,,,,,,,,,,,,
NSW,4525.0,294.0,0.0,0.0,2152.0,3.0,0.0,2021-10-25,,,,,,,,,,,,,,,,,,,,,,,
NT,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-25,,,,,,,,,,,,,,,,,,,,,,,
QLD,23.0,0.0,0.0,0.0,1.0,10.0,0.0,2021-10-25,,,,,,,,,,,,,,,,,,,,,,,
SA,3.0,0.0,0.0,0.0,0.0,3.0,0.0,2021-10-25,,,,,,,,,,,,,,,,,,,,,,,
TAS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-25,,,,,,,,,,,,,,,,,,,,,,,
VIC,24831.0,56.0,0.0,1405.0,2206.0,7.0,10613.0,2021-10-25,,,,,,,,,,,,,,,,,,,,,,,
WA,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-25,,,,,,,,,,,,,,,,,,,,,,,
ACT,296.0,11.0,1.0,0.0,118.0,1.0,0.0,2021-10-26,,,,,,,,,,,,,,,,,,,,,,,
NSW,4399.0,282.0,2.0,0.0,2149.0,5.0,0.0,2021-10-26,,,,,,,,,,,,,,,,,,,,,,,
VIC,24715.0,40.0,0.0,1470.0,1704.0,7.0,10865.0,2021-10-26,,,,,,,,,,,,,,,,,,,,,,,
NT,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-26,,,,,,,,,,,,,,,,,,,,,,,
QLD,22.0,2.0,1.0,0.0,3.0,11.0,0.0,2021-10-26,,,,,,,,,,,,,,,,,,,,,,,
SA,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2021-10-26,,,,,,,,,,,,,,,,,,,,,,,
WA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-26,,,,,,,,,,,,,,,,,,,,,,,
TAS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-26,,,,,,,,,,,,,,,,,,,,,,,
Australia,29441.0,335.0,4.0,1470.0,3974.0,26.0,10865.0,2021-10-26,,,,,,,,,,,,,,,,,,,,,,,
ACT,280.0,10.0,0.0,0.0,104.0,1.0,0.0,2021-10-27,,,,,,,,,,,,,,,,,,,,,,,
NSW,4181.0,304.0,1.0,0.0,2160.0,6.0,0.0,2021-10-27,,,,,,,,,,,,,,,,,,,,,,,
NT,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-27,,,,,,,,,,,,,,,,,,,,,,,
QLD,24.0,0.0,1.0,0.0,3.0,11.0,0.0,2021-10-27,,,,,,,,,,,,,,,,,,,,,,,
SA,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2021-10-27,,,,,,,,,,,,,,,,,,,,,,,
WA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-27,,,,,,,,,,,,,,,,,,,,,,,
TAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-27,,,,,,,,,,,,,,,,,,,,,,,
VIC,24164.0,473.0,0.0,1061.0,1668.0,6.0,10507.0,2021-10-27,,,,,,,,,,,,,,,,,,,,,,,
Australia,28654.0,787.0,2.0,1061.0,3935.0,26.0,10507.0,2021-10-27,,,,,,,,,,,,,,,,,,,,,,,
SA,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2021-10-28,,,,,,,,,,,,,,,,,,,,,,,
WA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-28,,,,,,,,,,,,,,,,,,,,,,,
VIC,22189.0,543.0,0.0,1380.0,1609.0,3.0,10323.0,2021-10-28,,,,,,,,,,,,,,,,,,,,,,,
Australia,26536.0,844.0,1.0,1380.0,3771.0,17.0,10323.0,2021-10-28,,,,,,,,,,,,,,,,,,,,,,,
ACT,258.0,8.0,0.0,0.0,84.0,1.0,0.0,2021-10-28,,,,,,,,,,,,,,,,,,,,,,,
NSW,4068.0,293.0,0.0,0.0,2076.0,4.0,0.0,2021-10-28,,,,,,,,,,,,,,,,,,,,,,,
NT,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-28,,,,,,,,,,,,,,,,,,,,,,,
TAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-28,,,,,,,,,,,,,,,,,,,,,,,
QLD,17.0,0.0,1.0,0.0,2.0,8.0,0.0,2021-10-28,,,,,,,,,,,,,,,,,,,,,,,
VIC,23730.0,465.0,1.0,1190.0,2012.0,3.0,9412.0,2021-10-29,,,,,,,,,,,,,,,,,,,,,,,
WA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-29,,,,,,,,,,,,,,,,,,,,,,,
ACT,234.0,10.0,0.0,0.0,81.0,1.0,0.0,2021-10-29,,,,,,,,,,,,,,,,,,,,,,,
NSW,3960.0,268.0,1.0,0.0,2003.0,5.0,0.0,2021-10-29,,,,,,,,,,,,,,,,,,,,,,,
NT,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-29,,,,,,,,,,,,,,,,,,,,,,,
QLD,17.0,0.0,2.0,0.0,2.0,5.0,0.0,2021-10-29,,,,,,,,,,,,,,,,,,,,,,,
SA,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2021-10-29,,,,,,,,,,,,,,,,,,,,,,,
TAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-29,,,,,,,,,,,,,,,,,,,,,,,
