Jurisdiction,Overseas,Locally acquired - contact of confirmed case,Locally acquired - unknown contact*,Locally acquired - interstate travel,Under investigation*,Total cases,Total deaths,Date,Locally acquired - unknown contact,Under investigation,"Population with at least one doses, 5+ years (%)","Population with two doses, 5+ years (%)","Eligible population with third dose, 16+ years (%)","Eligible population with fourth dose, 30+ years (%)"
SA,684.0,178.0,,36.0,,907.0,4.0,2021-10-06,9.0,0.0,,,,
TAS,85.0,141.0,,5.0,,236.0,13.0,2021-10-06,5.0,0.0,,,,
QLD,1490.0,479.0,,32.0,,2048.0,7.0,2021-10-06,47.0,0.0,,,,
NT,196.0,11.0,,5.0,,212.0,0.0,2021-10-06,0.0,0.0,,,,
NSW,3659.0,22215.0,,107.0,,65876.0,439.0,2021-10-06,39895.0,0.0,,,,
ACT,95.0,908.0,,30.0,,1162.0,8.0,2021-10-06,126.0,3.0,,,,
VIC,1224.0,28814.0,,0.0,,44251.0,877.0,2021-10-06,3871.0,10342.0,,,,
Australia,8427.0,52839.0,,224.0,,115802.0,1357.0,2021-10-06,43967.0,10345.0,,,,
WA,994.0,93.0,,9.0,,1110.0,9.0,2021-10-06,14.0,0.0,,,,
VIC,1224.0,30404.0,,0.0,,47266.0,890.0,2021-10-07,3871.0,11767.0,,,,
Australia,8435.0,55200.0,,225.0,,120043.0,1389.0,2021-10-07,44390.0,11793.0,,,,
ACT,95.0,942.0,,31.0,,1231.0,9.0,2021-10-07,137.0,26.0,,,,
NSW,3658.0,22952.0,,107.0,,67024.0,457.0,2021-10-07,40307.0,0.0,,,,
NT,197.0,11.0,,5.0,,213.0,0.0,2021-10-07,0.0,0.0,,,,
SA,684.0,178.0,,36.0,,907.0,4.0,2021-10-07,9.0,0.0,,,,
QLD,1498.0,479.0,,32.0,,2056.0,7.0,2021-10-07,47.0,0.0,,,,
WA,994.0,93.0,,9.0,,1110.0,9.0,2021-10-07,14.0,0.0,,,,
TAS,85.0,141.0,,5.0,,236.0,13.0,2021-10-07,5.0,0.0,,,,
Australia,8438.0,55584.0,44799.0,225.0,13506.0,122552.0,1405.0,2021-10-08,,,,,,
NSW,3660.0,23196.0,40706.0,107.0,0.0,67669.0,468.0,2021-10-08,,,,,,
NT,197.0,11.0,0.0,5.0,0.0,213.0,0.0,2021-10-08,,,,,,
QLD,1498.0,479.0,47.0,32.0,0.0,2056.0,7.0,2021-10-08,,,,,,
SA,685.0,178.0,9.0,36.0,0.0,908.0,4.0,2021-10-08,,,,,,
TAS,85.0,141.0,5.0,5.0,0.0,236.0,13.0,2021-10-08,,,,,,
VIC,1224.0,30506.0,3873.0,0.0,13486.0,49089.0,895.0,2021-10-08,,,,,,
WA,994.0,93.0,14.0,9.0,0.0,1110.0,9.0,2021-10-08,,,,,,
ACT,95.0,980.0,145.0,31.0,20.0,1271.0,9.0,2021-10-08,,,,,,
NSW,3661.0,23479.0,40999.0,107.0,0.0,68246.0,479.0,2021-10-09,,,,,,
NT,198.0,11.0,0.0,5.0,0.0,214.0,0.0,2021-10-09,,,,,,
